Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
208,6341	225	33X	516375,65	8556839,969	302,7276	1415	118,86	183,8676
210,98692	226	33X	516373,473	8556839,077	302,7	1432,5	120,33	182,37
213,36729	227	33X	516371,278	8556838,158	302,6404	1450	121,8	180,8404
215,7671	228	33X	516369,074	8556837,212	302,5592	1470	123,48	179,0792
218,1462	229	33X	516366,898	8556836,254	302,4734	1487,5	124,95	177,5234
220,46698	230	33X	516364,785	8556835,297	302,4	1507,5	126,63	175,77
222,7026	231	33X	516362,759	8556834,353	302,3533	1525	128,1	174,2533
224,87645	232	33X	516360,798	8556833,415	302,337	1542,5	129,57	172,767
227,02011	233	33X	516358,871	8556832,476	302,3522	1562,5	131,25	171,1022
229,16775	234	33X	516356,945	8556831,527	302,4	1580	132,72	169,68
231,34984	235	33X	516354,989	8556830,563	302,4792	1597,5	134,19	168,2892
233,58927	236	33X	516352,975	8556829,589	302,5802	1612,5	135,45	167,1302
235,9094	237	33X	516350,874	8556828,611	302,6911	1627,5	136,71	165,9811
238,33216	238	33X	516348,657	8556827,64	302,8	1645	138,18	164,62
240,86514	239	33X	516346,315	8556826,68	302,897	1660	139,44	163,457
243,46066	240	33X	516343,901	8556825,73	302,9796	1675	140,7	162,2796
246,0519	241	33X	516341,488	8556824,788	303,0475	1702,5	143,01	160,0375
248,57494	242	33X	516339,146	8556823,851	303,1	1732,5	145,53	157,57
250,98409	243	33X	516336,926	8556822,916	303,1375	1760	147,84	155,2975
253,32445	244	33X	516334,782	8556821,978	303,1637	1787,5	150,15	153,0137
255,6583	245	33X	516332,649	8556821,031	303,183	1815	152,46	150,723
258,05005	246	33X	516330,458	8556820,072	303,2	1842,5	154,77	148,43
260,5389	247	33X	516328,169	8556819,095	303,2186	1870	157,08	146,1386
263,07209	248	33X	516325,834	8556818,113	303,2406	1897,5	159,39	143,8506
265,57153	249	33X	516323,534	8556817,135	303,2673	1915	160,86	142,4073
267,95977	250	33X	516321,347	8556816,176	303,3	1932,5	162,33	140,97
270,18065	251	33X	516319,332	8556815,243	303,3398	1950	163,8	139,5398
272,26082	252	33X	516317,463	8556814,331	303,3867	1967,5	165,27	138,1167
274,24541	253	33X	516315,693	8556813,435	303,4404	1985	166,74	136,7004
276,1812	254	33X	516313,975	8556812,545	303,5009	2002,5	168,21	135,2909
278,11192	255	33X	516312,264	8556811,653	303,5678	2020	169,68	133,8878
280,08292	256	33X	516310,512	8556810,753	303,641	2047,5	171,99	131,651
282,13984	257	33X	516308,672	8556809,837	303,7202	2075	174,3	129,4202
284,32831	258	33X	516306,698	8556808,896	303,8053	2102,5	176,61	127,1953
286,6928	259	33X	516304,544	8556807,925	303,896	2130	178,92	124,976
289,28173	260	33X	516302,163	8556806,913	303,9922	2142,5	179,97	124,0222
292,14323	261	33X	516299,507	8556805,853	304,0936	2155	181,02	123,0736
295,32233	262	33X	516296,531	8556804,74	304,2	2165	181,86	122,34
298,82141	263	33X	516293,238	8556803,562	304,3095	2177,5	182,91	121,3995
302,44662	264	33X	516289,84	8556802,303	304,413	2187,5	183,75	120,663
305,96462	265	33X	516286,595	8556800,947	304,5	2200	184,8	119,7
309,20442	266	33X	516283,702	8556799,49	304,5633	2210	185,64	118,9233
312,20222	267	33X	516281,1	8556798,002	304,6103	2222,5	186,69	117,9203
315,02938	268	33X	516278,668	8556796,561	304,6522	2235	187,74	116,9122
317,75129	269	33X	516276,282	8556795,252	304,7	2247,5	188,79	115,91
320,43496	270	33X	516273,844	8556794,132	304,7621	2260	189,84	114,9221
323,10364	271	33X	516271,357	8556793,167	304,8362	2275	191,1	113,7362
325,75982	272	33X	516268,849	8556792,296	304,9172	2287,5	192,15	112,7672
328,40036	273	33X	516266,346	8556791,459	305	2300	193,2	111,8
331,02298	274	33X	516263,869	8556790,601	305,0803	2312,5	194,25	110,8303
333,65497	275	33X	516261,402	8556789,687	305,1572	2325	195,3	109,8572
336,3304	276	33X	516258,924	8556788,681	305,2305	2337,5	196,35	108,8805
339,0845	277	33X	516256,412	8556787,554	305,3	2347,5	197,19	108,11
341,94967	278	33X	516253,845	8556786,283	305,3651	2360	198,24	107,1251
344,93571	279	33X	516251,206	8556784,887	305,4225	2372,5	199,29	106,1325
348,04165	280	33X	516248,479	8556783,401	305,4687	2382,5	200,13	105,3387
351,26655	281	33X	516245,649	8556781,855	305,5	2395	201,18	104,32
354,59634	282	33X	516242,711	8556780,288	305,5142	2407,5	202,23	103,2842
357,96837	283	33X	516239,702	8556778,766	305,5153	2417,5	203,07	102,4453
361,31051	284	33X	516236,67	8556777,36	305,5087	2432,5	204,33	101,1787
364,55298	285	33X	516233,665	8556776,142	305,5	2447,5	205,59	99,91
367,65363	286	33X	516230,727	8556775,151	305,4922	2462,5	206,85	98,6422
370,63503	287	33X	516227,876	8556774,279	305,4789	2477,5	208,11	97,3689
373,52876	288	33X	516225,123	8556773,388	305,451	2492,5	209,37	96,081
376,37203	289	33X	516222,482	8556772,336	305,4	2507,5	210,63	94,77
379,22122	290	33X	516219,952	8556771,028	305,3217	2522,5	211,89	93,4317
382,09094	291	33X	516217,492	8556769,553	305,2319	2537,5	213,15	92,0819
384,96282	292	33X	516215,048	8556768,047	305,1511	2552,5	214,41	90,7411
387,81252	293	33X	516212,567	8556766,646	305,1	2567,5	215,67	89,43
390,63637	294	33X	516210,008	8556765,452	305,0934	2582,5	216,93	88,1634
393,44871	295	33X	516207,385	8556764,438	305,1235	2597,5	218,19	86,9335
396,25193	296	33X	516204,727	8556763,549	305,1762	2612,5	219,45	85,7262
399,04246	297	33X	516202,061	8556762,727	305,238	2627,5	220,71	84,528
401,81172	298	33X	516199,415	8556761,912	305,295	2642,5	221,97	83,325
404,55021	299	33X	516196,817	8556761,047	305,3335	2655	223,02	82,3135
407,25455	300	33X	516194,293	8556760,076	305,3398	2665	223,86	81,4798
409,92821	301	33X	516191,873	8556758,94	305,3	2675	224,7	80,6
412,60844	302	33X	516189,549	8556757,608	305,2082	2685	225,54	79,6682
415,39866	303	33X	516187,173	8556756,15	305,0892	2697,5	226,59	78,4992
418,40555	304	33X	516184,562	8556754,663	304,9756	2707,5	227,43	77,5456
421,74956	305	33X	516181,534	8556753,246	304,9	2717,5	228,27	76,63
425,50561	306	33X	516178,005	8556751,96	304,8829	2727,5	229,11	75,7729
429,4256	307	33X	516174,283	8556750,73	304,8963	2740	230,16	74,7363
433,16189	308	33X	516170,775	8556749,444	304,9	2750	231	73,9
436,46954	309	33X	516167,786	8556748,028	304,863	2760	231,84	73,023
439,44727	310	33X	516165,206	8556746,543	304,7908	2770	232,68	72,1108
442,23904	311	33X	516162,827	8556745,085	304,6982	2780	233,52	71,1782
444,97925	312	33X	516160,436	8556743,75	304,6	2790	234,36	70,24
447,78594	313	33X	516157,872	8556742,612	304,5085	2800	235,2	69,3085
450,66056	314	33X	516155,169	8556741,637	304,4273	2810	236,04	68,3873
453,55497	315	33X	516152,409	8556740,768	304,3574	2820	236,88	67,4774
456,40767	316	33X	516149,677	8556739,949	304,3	2830	237,72	66,58
459,17929	317	33X	516147,032	8556739,122	304,256	2840	238,56	65,696
461,90677	318	33X	516144,454	8556738,232	304,225	2850	239,4	64,825
464,65571	319	33X	516141,897	8556737,223	304,2066	2860	240,24	63,9666
467,49268	320	33X	516139,318	8556736,041	304,2	2870	241,08	63,12
470,46857	321	33X	516136,683	8556734,658	304,2034	2880	241,92	62,2834
473,53678	322	33X	516134,002	8556733,166	304,21	2890	242,76	61,45
476,62186	323	33X	516131,294	8556731,688	304,2116	2900	243,6	60,6116
479,65222	324	33X	516128,579	8556730,342	304,2	2910	244,44	59,76
482,58346	325	33X	516125,872	8556729,218	304,1693	2925	245,7	58,4693
485,44427	326	33X	516123,175	8556728,265	304,1224	2940	246,96	57,1624
488,27212	327	33X	516120,483	8556727,401	304,0643	2955	248,22	55,8443
491,09507	328	33X	516117,795	8556726,541	304	2972,5	249,69	54,31
493,93625	329	33X	516115,107	8556725,623	303,9349	2987,5	250,95	52,9849
496,79277	330	33X	516112,418	8556724,661	303,8754	3002,5	252,21	51,6654
499,65339	331	33X	516109,728	8556723,689	303,8282	3017,5	253,47	50,3582
502,50885	332	33X	516107,035	8556722,74	303,8	3032,5	254,73	49,07
505,35238	333	33X	516104,34	8556721,833	303,7942	3047,5	255,99	47,8042
508,1969	334	33X	516101,646	8556720,92	303,8009	3062,5	257,25	46,5509
511,05926	335	33X	516098,957	8556719,939	303,8073	3077,5	258,51	45,2973
513,96081	336	33X	516096,277	8556718,827	303,8	3092,5	259,77	44,03
516,92366	337	33X	516093,607	8556717,543	303,7697	3107,5	261,03	42,7397
519,95124	338	33X	516090,933	8556716,124	303,7208	3122,5	262,29	41,4308
523,02962	339	33X	516088,241	8556714,632	303,6616	3137,5	263,55	40,1116
526,14487	340	33X	516085,513	8556713,129	303,6	3152,5	264,81	38,79
529,28336	341	33X	516082,738	8556711,664	303,5428	3167,5	266,07	37,4728
532,43933	342	33X	516079,919	8556710,246	303,4911	3182,5	267,33	36,1611
535,6086	343	33X	516077,062	8556708,875	303,4447	3197,5	268,59	34,8547
538,78408	344	33X	516074,176	8556707,551	303,4033	3202,5	269,01	34,3933
541,96256	345	33X	516071,266	8556706,273	303,3666	3210	269,64	33,7266
545,13659	346	33X	516068,341	8556705,041	303,3343	3215	270,06	33,2743
548,30211	347	33X	516065,407	8556703,853	303,3062	3222,5	270,69	32,6162
551,45284	348	33X	516062,471	8556702,71	303,282	3227,5	271,11	32,172
554,58189	349	33X	516059,541	8556701,612	303,2615	3232,5	271,53	31,7315
557,6848	350	33X	516056,623	8556700,557	303,2444	3240	272,16	31,0844
560,75445	351	33X	516053,725	8556699,545	303,2303	3245	272,58	30,6503
563,7849	352	33X	516050,854	8556698,575	303,2191	3252,5	273,21	30,0091
566,77048	353	33X	516048,016	8556697,648	303,2105	3257,5	273,63	29,5805
569,7035	354	33X	516045,22	8556696,762	303,2043	3265	274,26	28,9443
572,57915	355	33X	516042,471	8556695,918	303,2	3272,5	274,89	28,31
575,39939	356	33X	516039,772	8556695,1	303,1976	3277,5	275,31	27,8876
578,20645	357	33X	516037,098	8556694,246	303,1968	3285	275,94	27,2568
581,05309	358	33X	516034,421	8556693,278	303,1977	3292,5	276,57	26,6277
584,00131	359	33X	516031,711	8556692,117	303,2	3300	277,2	26
587,09471	360	33X	516028,949	8556690,724	303,2034	3307,5	277,83	25,3734
590,27647	361	33X	516026,15	8556689,211	303,206	3315	278,46	24,746
593,45342	362	33X	516023,342	8556687,725	303,2056	3322,5	279,09	24,1156
596,53929	363	33X	516020,548	8556686,415	303,2	3330	279,72	23,48
599,48419	364	33X	516017,791	8556685,38	303,1873	3335	280,14	23,0473
602,3362	365	33X	516015,075	8556684,51	303,1667	3342,5	280,77	22,3967
605,14991	366	33X	516012,399	8556683,641	303,1378	3350	281,4	21,7378
607,9788	367	33X	516009,763	8556682,615	303,1	3355	281,82	21,28
610,88382	368	33X	516007,164	8556681,318	303,0536	3357,5	282,03	21,0236
613,85218	369	33X	516004,588	8556679,844	303,002	3362,5	282,45	20,552
616,83235	370	33X	516002,021	8556678,331	302,9494	3365	282,66	20,2894
619,7663	371	33X	515999,448	8556676,922	302,9	3370	283,08	19,82
622,62117	372	33X	515996,857	8556675,724	302,8576	3375	283,5	19,3576
625,41064	373	33X	515994,257	8556674,714	302,8251	3377,5	283,71	19,1151
628,15153	374	33X	515991,663	8556673,829	302,8051	3382,5	284,13	18,6751
630,85213	375	33X	515989,088	8556673,015	302,8	3385	284,34	18,46
633,52745	376	33X	515986,537	8556672,209	302,8096	3390	284,76	18,0496
636,22206	377	33X	515983,983	8556671,35	302,8224	3395	285,18	17,6424
638,99173	378	33X	515981,391	8556670,374	302,824	3397,5	285,39	17,434
641,89543	379	33X	515978,727	8556669,219	302,8	3402,5	285,81	16,99
644,97462	380	33X	515975,969	8556667,851	302,7414	3405	286,02	16,7214
648,15974	381	33X	515973,154	8556666,363	302,6602	3410	286,44	16,2202
651,34713	382	33X	515970,335	8556664,878	302,5739	3412,5	286,65	15,9239
654,4361	383	33X	515967,563	8556663,517	302,5	3417,5	287,07	15,43
657,35506	384	33X	515964,878	8556662,373	302,4515	3422,5	287,49	14,9615
660,13353	385	33X	515962,273	8556661,407	302,4243	3427,5	287,91	14,5143
662,819	386	33X	515959,729	8556660,547	302,41	3430	288,12	14,29
665,45353	387	33X	515957,227	8556659,722	302,4	3435	288,54	13,86
668,08215	388	33X	515954,741	8556658,868	302,387	3440	288,96	13,427
670,76106	389	33X	515952,224	8556657,951	302,3676	3445	289,38	12,9876
673,55629	390	33X	515949,617	8556656,943	302,3393	3450	289,8	12,5393
676,52891	391	33X	515946,867	8556655,815	302,3	3452,5	290,01	12,29
679,7227	392	33X	515943,934	8556654,552	302,2483	3457,5	290,43	11,8183
683,09441	393	33X	515940,852	8556653,186	302,1875	3462,5	290,85	11,3375
686,58326	394	33X	515937,669	8556651,759	302,1219	3467,5	291,27	10,8519
690,12378	395	33X	515934,437	8556650,315	302,056	3472,5	291,69	10,366
693,65371	396	33X	515931,205	8556648,897	301,9941	3475	291,9	10,0941
697,10896	397	33X	515928,024	8556647,549	301,9407	3480	292,32	9,6207
700,42944	398	33X	515924,942	8556646,314	301,9	3485	292,74	9,16
703,57023	399	33X	515921,998	8556645,22	301,8757	3490	293,16	8,7157
706,55811	400	33X	515919,173	8556644,247	301,8679	3495	293,58	8,2879
709,4368	401	33X	515916,436	8556643,355	301,8762	3500	294	7,8762
712,24536	402	33X	515913,758	8556642,509	301,9	3505	294,42	7,48
715,02775	403	33X	515911,106	8556641,668	301,9365	3512,5	295,05	6,8865
717,83264	404	33X	515908,447	8556640,776	301,9744	3517,5	295,47	6,5044
