Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
15,402286	73	33X	514143,719	8555903,119	315,2566	320	26,88	288,3766
16,875037	74	33X	514144,008	8555904,563	315,275	320	26,88	288,395
18,678474	75	33X	514144,264	8555906,348	315,3	320	26,88	288,42
20,877385	76	33X	514144,482	8555908,536	315,3185	322,5	27,09	288,2285
23,320564	77	33X	514144,669	8555910,972	315,3261	322,5	27,09	288,2361
25,795279	78	33X	514144,837	8555913,441	315,3206	322,5	27,09	288,2306
28,088959	79	33X	514144,997	8555915,729	315,3	322,5	27,09	288,21
30,058063	80	33X	514145,16	8555917,691	315,2632	325	27,3	287,9632
31,823544	81	33X	514145,336	8555919,447	315,2141	325	27,3	287,9141
33,576128	82	33X	514145,538	8555921,187	315,158	327,5	27,51	287,648
35,506609	83	33X	514145,775	8555923,102	315,1	327,5	27,51	287,59
37,759763	84	33X	514146,055	8555925,337	315,0445	330	27,72	287,3245
40,31007	85	33X	514146,372	8555927,867	314,9928	330	27,72	287,2728
43,088723	86	33X	514146,715	8555930,624	314,9457	332,5	27,93	287,0157
46,028032	87	33X	514147,074	8555933,541	314,9037	332,5	27,93	286,9737
49,058192	88	33X	514147,438	8555936,549	314,8675	335	28,14	286,7275
52,113386	89	33X	514147,796	8555939,583	314,8377	335	28,14	286,6977
55,12098	90	33X	514148,138	8555942,571	314,815	337,5	28,35	286,465
58,015321	91	33X	514148,454	8555945,448	314,8	340	28,56	286,24
60,761161	92	33X	514148,739	8555948,179	314,7928	342,5	28,77	286,0228
63,457712	93	33X	514149,009	8555950,862	314,7919	345	28,98	285,8119
66,241629	94	33X	514149,287	8555953,632	314,795	347,5	29,19	285,605
69,244471	95	33X	514149,595	8555956,619	314,8	350	29,4	285,4
72,518559	96	33X	514149,948	8555959,874	314,8046	350	29,4	285,4046
75,78989	97	33X	514150,338	8555963,122	314,8057	352,5	29,61	285,1957
78,70148	98	33X	514150,752	8555966,004	314,8	360	30,24	284,56
81,002546	99	33X	514151,174	8555968,266	314,7866	367,5	30,87	283,9166
82,855879	100	33X	514151,59	8555970,072	314,7744	375	31,5	283,2744
84,52211	101	33X	514151,988	8555971,69	314,7751	382,5	32,13	282,6451
86,256143	102	33X	514152,353	8555973,385	314,8	387,5	32,55	282,25
88,269973	103	33X	514152,676	8555975,372	314,8549	395	33,18	281,6749
90,558672	104	33X	514152,968	8555977,641	314,9221	402,5	33,81	281,1121
93,062234	105	33X	514153,241	8555980,129	314,9782	410	34,44	280,5382
95,716987	106	33X	514153,51	8555982,77	315	417,5	35,07	279,93
98,468008	107	33X	514153,786	8555985,507	314,9722	432,5	36,33	278,6422
101,27903	108	33X	514154,07	8555988,303	314,9123	450	37,8	277,1123
104,11656	109	33X	514154,359	8555991,125	314,8463	467,5	39,27	275,5763
106,94793	110	33X	514154,65	8555993,941	314,8	485	40,74	274,06
109,75183	111	33X	514154,948	8555996,729	314,7909	500	42	272,7909
112,54713	112	33X	514155,284	8555999,504	314,8036	517,5	43,47	271,3336
115,364	113	33X	514155,693	8556002,291	314,8145	535	44,94	269,8745
118,23668	114	33X	514156,214	8556005,116	314,8	550	46,2	268,6
121,18229	115	33X	514156,866	8556007,988	314,744	567,5	47,67	267,074
124,14169	116	33X	514157,595	8556010,855	314,6607	585	49,14	265,5207
127,0314	117	33X	514158,331	8556013,648	314,5721	602,5	50,61	263,9621
129,77058	118	33X	514159,001	8556016,303	314,5	612,5	51,45	263,05
132,30063	119	33X	514159,552	8556018,772	314,4598	622,5	52,29	262,1698
134,66685	120	33X	514159,986	8556021,098	314,4411	635	53,34	261,1011
136,94002	121	33X	514160,323	8556023,346	314,4268	645	54,18	260,2468
139,19036	122	33X	514160,584	8556025,581	314,4	657,5	55,23	259,17
141,47306	123	33X	514160,788	8556027,854	314,3496	667,5	56,07	258,2796
143,79235	124	33X	514160,961	8556030,166	314,2875	677,5	56,91	257,3775
146,13505	125	33X	514161,129	8556032,502	314,2318	690	57,96	256,2718
148,49185	126	33X	514161,318	8556034,851	314,2	700	58,8	255,4
150,85318	127	33X	514161,549	8556037,201	314,2044	710	59,64	254,5644
153,2173	128	33X	514161,823	8556039,549	314,2338	722,5	60,69	253,5438
155,58399	129	33X	514162,133	8556041,895	314,2713	732,5	61,53	252,7413
157,95001	130	33X	514162,475	8556044,236	314,3	750	63	251,3
160,32008	131	33X	514162,845	8556046,577	314,3068	765	64,26	250,0468
162,70867	132	33X	514163,238	8556048,933	314,2932	782,5	65,73	248,5632
165,1359	133	33X	514163,649	8556051,325	314,2645	800	67,2	247,0645
167,62017	134	33X	514164,076	8556053,772	314,226	815	68,46	245,766
170,18144	135	33X	514164,515	8556056,295	314,183	832,5	69,93	244,253
172,83831	136	33X	514164,96	8556058,914	314,1408	850	71,4	242,7408
175,61016	137	33X	514165,409	8556061,649	314,1047	865	72,66	241,4447
178,51699	138	33X	514165,857	8556064,521	314,0799	882,5	74,13	239,9499
181,5754	139	33X	514166,301	8556067,547	314,0717	897,5	75,39	238,6817
184,80797	140	33X	514166,737	8556070,75	314,0855	915	76,86	237,2255
188,23443	141	33X	514167,16	8556074,15	314,1265	932,5	78,33	235,7965
191,87301	142	33X	514167,567	8556077,765	314,2	947,5	79,59	234,61
195,70227	143	33X	514167,956	8556081,573	314,3051	965	81,06	233,2451
199,5275	144	33X	514168,333	8556085,378	314,4157	980	82,32	232,0957
203,1061	145	33X	514168,707	8556088,936	314,5	997,5	83,79	230,71
206,26697	146	33X	514169,085	8556092,074	314,5346	1015	85,26	229,2746
209,09827	147	33X	514169,47	8556094,879	314,5319	1030	86,52	228,0119
211,75487	148	33X	514169,865	8556097,506	314,5133	1047,5	87,99	226,5233
214,39135	149	33X	514170,271	8556100,111	314,5	1065	89,46	225,04
217,12421	150	33X	514170,687	8556102,812	314,5082	1077,5	90,51	223,9982
219,94499	151	33X	514171,095	8556105,603	314,5338	1090	91,56	222,9738
222,80878	152	33X	514171,477	8556108,441	314,5675	1102,5	92,61	221,9575
225,67239	153	33X	514171,81	8556111,285	314,6	1115	93,66	220,94
228,50588	154	33X	514172,085	8556114,105	314,6246	1127,5	94,71	219,9146
231,31129	155	33X	514172,337	8556116,899	314,6452	1140	95,76	218,8852
234,10576	156	33X	514172,61	8556119,68	314,6682	1152,5	96,81	217,8582
236,90268	157	33X	514172,95	8556122,456	314,7	1165	97,86	216,84
239,71785	158	33X	514173,385	8556125,237	314,7449	1177,5	98,91	215,8349
242,5527	159	33X	514173,89	8556128,026	314,7979	1190	99,96	214,8379
245,40232	160	33X	514174,422	8556130,825	314,852	1202,5	101,01	213,842
248,25971	161	33X	514174,938	8556133,635	314,9	1215	102,06	212,84
251,11819	162	33X	514175,404	8556136,455	314,9365	1227,5	103,11	211,8265
253,96301	163	33X	514175,814	8556139,27	314,9631	1240	104,16	210,8031
256,77782	164	33X	514176,171	8556142,062	314,9831	1252,5	105,21	209,7731
259,54285	165	33X	514176,477	8556144,81	315	1267,5	106,47	208,53
262,25768	166	33X	514176,74	8556147,512	315,017	1282,5	107,73	207,287
264,98243	167	33X	514176,992	8556150,225	315,0373	1297,5	108,99	206,0473
267,79652	168	33X	514177,272	8556153,025	315,064	1312,5	110,25	204,814
270,7728	169	33X	514177,617	8556155,981	315,1	1327,5	111,51	203,59
273,96097	170	33X	514178,052	8556159,139	315,147	1342,5	112,77	202,377
277,28309	171	33X	514178,551	8556162,423	315,2001	1355	113,82	201,3801
280,62896	172	33X	514179,076	8556165,727	315,2532	1370	115,08	200,1732
283,88762	173	33X	514179,587	8556168,945	315,3	1385	116,34	198,96
286,97435	174	33X	514180,054	8556171,996	315,3356	1400	117,6	197,7356
289,90416	175	33X	514180,477	8556174,895	315,361	1415	118,86	196,501
292,71909	176	33X	514180,865	8556177,683	315,3788	1430	120,12	195,2588
295,46013	177	33X	514181,227	8556180,4	315,3913	1442,5	121,17	194,2213
298,16722	178	33X	514181,572	8556183,085	315,4011	1457,5	122,43	192,9711
300,88211	179	33X	514181,908	8556185,779	315,4106	1472,5	123,69	191,7206
303,64563	180	33X	514182,244	8556188,522	315,4223	1487,5	124,95	190,4723
306,49763	181	33X	514182,589	8556191,353	315,4387	1502,5	126,21	189,2287
309,47989	182	33X	514182,952	8556194,313	315,4621	1517,5	127,47	187,9921
312,63427	183	33X	514183,342	8556197,443	315,4952	1532,5	128,73	186,7652
315,99853	184	33X	514183,767	8556200,78	315,5403	1550	130,2	185,3403
319,61655	185	33X	514184,236	8556204,367	315,6	1565	131,46	184,14
323,47154	186	33X	514184,749	8556208,187	315,6733	1580	132,72	182,9533
327,33038	187	33X	514185,276	8556212,009	315,7459	1595	133,98	181,7659
330,89872	188	33X	514185,774	8556215,542	315,8	1610	135,24	180,56
333,97459	189	33X	514186,215	8556218,586	315,823	1625	136,5	179,323
336,71605	190	33X	514186,609	8556221,299	315,8223	1640	137,76	178,0623
339,36858	191	33X	514186,976	8556223,926	315,8105	1655	139,02	176,7905
342,18298	192	33X	514187,338	8556226,717	315,8	1670	140,28	175,52
345,33028	193	33X	514187,712	8556229,842	315,8014	1685	141,54	174,2614
348,69741	194	33X	514188,097	8556233,187	315,8178	1700	142,8	173,0178
352,09823	195	33X	514188,489	8556236,565	315,8503	1717,5	144,27	171,5803
355,34672	196	33X	514188,884	8556239,789	315,9	1732,5	145,53	170,37
358,30965	197	33X	514189,277	8556242,725	315,9666	1747,5	146,79	169,1766
361,08231	198	33X	514189,667	8556245,469	316,0439	1762,5	148,05	167,9939
363,80642	199	33X	514190,049	8556248,165	316,1243	1777,5	149,31	166,8143
366,63019	200	33X	514190,422	8556250,963	316,2	1792,5	150,57	165,63
369,66678	201	33X	514190,786	8556253,977	316,2649	1807,5	151,83	164,4349
372,8923	202	33X	514191,154	8556257,181	316,319	1822,5	153,09	163,229
376,2512	203	33X	514191,543	8556260,517	316,3635	1842,5	154,77	161,5935
