Dist	TrNo	X,m	Y,m	Z,m	TD, ns	Hice	Amplitud de la señal	Bed,m
44,8	0	513369,7651	8552496,45	345,155846	287,585231	23,8696	0	321,286246
46,4	0	513369,5821	8552498,037	345,057287	298,750004	24,7962	0	320,261087
48,8	0	513369,2698	8552500,409	344,880957	306,193186	25,414	0	319,466957
52	0	513368,8747	8552503,578	344,68558	309,914777	25,7229	0	318,96268
54,4	0	513368,5547	8552505,952	344,542266	317,357959	26,3407	0	318,201566
58,4	0	513367,9946	8552509,906	344,325614	339,687505	28,1941	0	316,131514
61,6	0	513367,5308	8552513,067	344,144018	350,852278	29,1207	0	315,023318
64,8	0	513367,0626	8552516,229	343,98941	365,738642	30,3563	0	313,63311
69,6	0	513366,3048	8552520,964	343,811258	391,789779	32,5186	0	311,292658
76	0	513365,1947	8552527,26	343,545921	421,562507	34,9897	0	308,556221
80	0	513364,6211	8552531,216	343,415899	440,170462	36,5341	0	306,881799
86,4	0	513363,6788	8552537,543	343,262511	462,500008	38,3875	0	304,875011
89,6	0	513363,194	8552540,705	343,204216	481,107963	39,932	0	303,272216
93,6	0	513362,5532	8552544,653	343,140195	495,994327	41,1675	0	301,972695
97,6	0	513361,906	8552548,599	343,055054	518,323873	43,0209	0	300,034154
101,6	0	513361,2329	8552552,541	342,976474	533,210237	44,2564	0	298,720074
104,8	0	513360,6667	8552555,69	342,944442	544,37501	45,1831	0	297,761342
108,8	0	513359,9958	8552559,633	342,890168	562,982965	46,7276	0	296,162568
114,4	0	513359,1146	8552565,162	342,880507	585,31251	48,5809	0	294,299607
119,2	0	513358,3353	8552569,898	342,853766	611,363647	50,7432	0	292,110566
122,4	0	513357,8102	8552573,054	342,85185	644,857966	53,5232	0	289,32865
128	0	513356,903	8552578,579	342,881176	652,301148	54,141	0	288,740176
131,2	0	513356,4017	8552581,739	342,892865	685,795467	56,921	0	285,971865
134,4	0	513355,9528	8552584,907	342,894788	696,96024	57,8477	0	285,047088
139,2	0	513355,3674	8552589,67	342,933205	723,011377	60,0099	0	282,923305
144	0	513354,8805	8552594,443	343,078991	745,340923	61,8633	0	281,215691
147,2	0	513354,523	8552597,622	343,13585	763,948878	63,4078	0	279,72805
152	0	513353,9573	8552602,386	343,27203	782,556833	64,9522	0	278,31983
159,2	0	513353,1117	8552609,532	343,457822	819,772743	68,0411	0	275,416722
163,2	0	513352,7428	8552613,513	343,552378	834,659107	69,2767	0	274,275678
167,2	0	513352,265	8552617,484	343,602678	860,710244	71,4389	0	272,163778
173,6	0	513351,6036	8552623,846	343,79427	891,505679	73,995	0	269,79927
183,2	0	513350,6164	8552633,389	344,106452	938,039769	77,8573	0	266,249152
193,6	0	513349,3405	8552643,701	344,535634	992,329542	82,3633	0	262,172334
205,6	0	513347,8767	8552655,601	345,008263	1041,448859	86,4403	0	258,567963
217,6	0	513346,5002	8552667,511	345,481294	1075,056814	89,2297	0	256,251594
224	0	513345,7933	8552673,866	345,751019	1095,738632	90,9463	0	254,804719
225,6	0	513345,6383	8552675,456	345,831962	1108,664768	92,0192	0	253,812762
232	0	513344,9866	8552681,81	346,225692	1124,176131	93,3066	0	252,919092
237,6	0	513344,4803	8552687,376	346,572968	1144,857949	95,0232	0	251,549768
243,2	0	513343,9486	8552692,943	346,853244	1165,539768	96,7398	0	250,113444
252	0	513343,0687	8552701,689	347,224706	1199,147722	99,5293	0	247,695406
261,6	0	513342,1877	8552711,24	347,614365	1227,585222	101,8896	0	245,724765
274,4	0	513340,9302	8552723,96	348,249297	1266,36363	105,1082	0	243,141097
284	0	513340,0025	8552733,498	348,79216	1284,460221	106,6102	0	242,18196
292,8	0	513339,1553	8552742,246	349,211704	1266,363663	105,1082	0	244,103504
296	0	513338,8188	8552745,424	349,364608	1262,642072	104,7993	0	244,565308
300	0	513338,3569	8552749,394	349,513811	1262,642072	104,7993	0	244,714511
304	0	513337,8927	8552753,363	349,69521	1258,920481	104,4904	0	245,20481
306,4	0	513337,6146	8552755,744	349,805875	1255,19889	104,1815	0	245,624375
307,2	0	513337,5265	8552756,538	349,835384	1262,642072	104,7993	0	245,036084
311,2	0	513337,0468	8552760,507	349,955152	1258,920481	104,4904	0	245,464752
316	0	513336,4814	8552765,269	350,149181	1262,642072	104,7993	0	245,349881
320	0	513336,0496	8552769,241	350,341943	1255,19889	104,1815	0	246,160443
322,4	0	513335,7949	8552771,626	350,431946	1251,477299	103,8726	0	246,559346
325,6	0	513335,3473	8552774,788	350,611185	1265,624964	105,0469	0	245,564285
330,4	0	513334,7865	8552779,552	350,746373	1268,8011	105,3105	0	245,435873
333,6	0	513334,4767	8552782,733	350,901711	1287,857918	106,8922	0	244,009511
339,2	0	513333,8102	8552788,287	351,139883	1281,505646	106,365	0	244,774883
345,6	0	513333,0463	8552794,636	351,391722	1294,210191	107,4194	0	243,972322
352,8	0	513332,2701	8552801,786	351,708312	1297,386327	107,6831	0	244,025212
359,2	0	513331,4696	8552808,132	351,924637	1297,386327	107,6831	0	244,241537
364	0	513330,9695	8552812,901	352,1203	1294,210191	107,4194	0	244,7009
370,4	0	513330,2018	8552819,252	352,309178	1297,386327	107,6831	0	244,626078
377,6	0	513329,4963	8552826,414	352,495958	1294,210191	107,4194	0	245,076558
384,8	0	513328,751	8552833,571	352,725913	1271,977237	105,5741	0	247,151813
388,8	0	513328,3606	8552837,551	352,831529	1246,568147	103,4652	0	249,366329
395,2	0	513327,7016	8552843,912	353,057808	1230,687465	102,1471	0	250,910708
400,8	0	513327,1404	8552849,48	353,237646	1208,454512	100,3017	0	252,935946
409,6	0	513326,1526	8552858,22	353,515332	1195,749967	99,2472	0	254,268132
416	0	513325,483	8552864,581	353,704588	1183,045422	98,1928	0	255,511788
421,6	0	513324,7534	8552870,13	353,851102	1167,16474	96,8747	0	256,976402
426,4	0	513324,2377	8552874,899	353,969523	1154,460195	95,8202	0	258,149323
431,2	0	513323,6678	8552879,66	354,125203	1141,75565	94,7657	0	259,359503
438,4	0	513322,8351	8552886,811	354,192038	1122,698833	93,184	0	261,008038
443,2	0	513322,362	8552891,584	354,36566	1109,994288	92,1295	0	262,23616
448	0	513321,8741	8552896,356	354,510406	1097,289743	91,075	0	263,435406
452,8	0	513321,4137	8552901,125	354,724236	1081,409061	89,7569	0	264,967336
458,4	0	513320,7937	8552906,688	354,865323	1068,704516	88,7025	0	266,162823
464,8	0	513320,1326	8552913,049	355,111216	1052,823835	87,3844	0	267,726816
469,6	0	513319,6163	8552917,819	355,213499	1040,11929	86,3299	0	268,883599
473,6	0	513319,1252	8552921,789	355,25163	1027,414745	85,2754	0	269,97623
479,2	0	513318,6148	8552927,363	355,375117	1014,7102	84,2209	0	271,154217
484	0	513318,1124	8552932,134	355,492629	1008,357928	83,6937	0	271,798929
485,6	0	513317,9434	8552933,725	355,50195	998,829519	82,9028	0	272,59915
489,6	0	513317,4735	8552937,695	355,634112	989,30111	82,112	0	273,522112
493,6	0	513317,0399	8552941,67	355,738511	986,124974	81,8484	0	273,890111
498,4	0	513316,479	8552946,436	355,848725	976,596565	81,0575	0	274,791225
505,6	0	513315,7146	8552953,592	356,045186	970,244292	80,5303	0	275,514886
512,8	0	513315,0107	8552960,755	356,211313	960,715884	79,7394	0	276,471913
521,6	0	513314,0835	8552969,502	356,430281	951,187475	78,9486	0	277,481681
532	0	513312,9398	8552979,834	356,668378	935,306794	77,6305	0	279,037878
541,6	0	513311,9676	8552989,38	356,959246	925,778385	76,8396	0	280,119646
548	0	513311,3269	8552995,744	357,149609	909,897704	75,5215	0	281,628109
560	0	513310,114	8553007,672	357,525381	887,66475	73,6762	0	283,849181
569,6	0	513309,0177	8553017,206	357,743981	874,960205	72,6217	0	285,122281
578,4	0	513307,9675	8553025,941	357,961168	865,431796	71,8308	0	286,130368
588,8	0	513306,6863	8553036,256	358,261229	855,903387	71,04	0	287,221229
596	0	513305,859	8553043,404	358,473565	849,551115	70,5127	0	287,960865
604,8	0	513304,8246	8553052,134	358,802716	843,198842	69,9855	0	288,817216
612	0	513304,0219	8553059,285	359,003076	836,84657	69,4583	0	289,544776
619,2	0	513303,1803	8553066,431	359,257301	827,318161	68,6674	0	290,589901
628	0	513302,3204	8553075,184	359,52257	820,965889	68,1402	0	291,38237
640	0	513301,0748	8553087,113	359,870137	811,43748	67,3493	0	292,520837
650,4	0	513300,0363	8553097,453	360,24103	805,085207	66,8221	0	293,41893
663,2	0	513298,6546	8553110,168	360,704774	801,909071	66,5585	0	294,146274
672	0	513297,7109	8553118,911	361,01715	795,556798	66,0312	0	294,98595
677,6	0	513297,1158	8553124,476	361,209712	789,204526	65,504	0	295,705712
685,6	0	513296,1935	8553132,417	361,474295	789,204526	65,504	0	295,970295
693,6	0	513295,3929	8553140,371	361,739055	789,204526	65,504	0	296,235055
698,4	0	513294,8756	8553145,14	361,909763	782,852253	64,9767	0	296,933063
706,4	0	513294,0693	8553153,09	362,269863	782,852253	64,9767	0	297,293163
718,4	0	513292,8579	8553165,017	362,73999	782,852253	64,9767	0	297,76329
724,8	0	513292,2568	8553171,384	362,983427	776,499981	64,4495	0	298,533927
732,8	0	513291,5213	8553179,345	363,240746	776,499981	64,4495	0	298,791246
737,6	0	513291,0505	8553184,116	363,477217	770,147708	63,9223	0	299,554917
743,2	0	513290,5161	8553189,686	363,67482	776,499981	64,4495	0	299,22532
750,4	0	513289,8604	8553196,848	363,983616	766,971572	63,6586	0	300,325016
760	0	513288,9564	8553206,389	364,504542	766,971572	63,6586	0	300,845942
766,4	0	513288,341	8553212,751	364,822186	751,357978	62,3627	0	302,459486
771,2	0	513287,8626	8553217,518	365,099009	760,954569	63,1592	0	301,939809
774,4	0	513287,5254	8553220,694	365,288127	760,954569	63,1592	0	302,128927
777,6	0	513287,2654	8553223,873	365,538662	764,153433	63,4247	0	302,113962
783,2	0	513286,7345	8553229,442	365,799805	764,153433	63,4247	0	302,375105
788	0	513286,239	8553234,208	366,06749	760,954569	63,1592	0	302,90829
792,8	0	513285,7914	8553238,976	366,391865	760,954569	63,1592	0	303,232665
797,6	0	513285,3294	8553243,745	366,679717	760,954569	63,1592	0	303,520517
804,8	0	513284,6077	8553250,892	367,168267	754,556841	62,6282	0	304,540067
811,2	0	513283,9821	8553257,244	367,626095	757,755705	62,8937	0	304,732395
814,4	0	513283,6822	8553260,42	367,872655	757,755705	62,8937	0	304,978955
821,6	0	513282,8883	8553267,561	368,338454	764,153433	63,4247	0	304,913754
828,8	0	513282,0523	8553274,69	368,887245	760,954569	63,1592	0	305,728045
835,2	0	513281,3374	8553281,033	369,355879	764,153433	63,4247	0	305,931179
840	0	513280,8528	8553285,796	369,696459	760,954569	63,1592	0	306,537259
844	0	513280,495	8553289,772	369,945149	760,954569	63,1592	0	306,785949
849,6	0	513279,8822	8553295,326	370,312072	760,954569	63,1592	0	307,152872
857,6	0	513279,0507	8553303,26	370,899398	760,954569	63,1592	0	307,740198
862,4	0	513278,5263	8553308,015	371,296263	757,755705	62,8937	0	308,402563
867,2	0	513278,0355	8553312,774	371,674737	754,556841	62,6282	0	309,046537
872,8	0	513277,49	8553318,327	372,143687	754,556841	62,6282	0	309,515487
880	0	513276,8301	8553325,478	372,647782	757,755705	62,8937	0	309,754082
886,4	0	513276,1966	8553331,826	373,163109	760,954569	63,1592	0	310,003909
894,4	0	513275,3202	8553339,752	373,79563	764,153433	63,4247	0	310,37093
899,2	0	513274,76	8553344,502	374,201416	764,153433	63,4247	0	310,776716
904	0	513274,1794	8553349,249	374,607778	767,352296	63,6902	0	310,917578
911,2	0	513273,4659	8553356,395	375,116593	764,153433	63,4247	0	311,691893
918,4	0	513272,5807	8553363,518	375,656873	764,153433	63,4247	0	312,232173
924,8	0	513271,8881	8553369,859	376,175967	760,954569	63,1592	0	313,016767
929,6	0	513271,3279	8553374,611	376,553146	760,954569	63,1592	0	313,393946
934,4	0	513270,7679	8553379,364	376,917535	751,357978	62,3627	0	314,554835
941,6	0	513269,9239	8553386,491	377,497305	751,357978	62,3627	0	315,134605
944,8	0	513269,5546	8553389,658	377,763195	751,357978	62,3627	0	315,400495
950,4	0	513268,9642	8553395,212	378,170486	751,357978	62,3627	0	315,807786
952,8	0	513268,6718	8553397,588	378,338266	751,357978	62,3627	0	315,975566
957,6	0	513268,1294	8553402,345	378,67407	751,357978	62,3627	0	316,31137
961,6	0	513267,7041	8553406,31	378,983344	757,755705	62,8937	0	316,089644
969,6	0	513266,9014	8553414,251	379,520855	748,159114	62,0972	0	317,423655
974,4	0	513266,4276	8553419,015	379,865132	744,96025	61,8317	0	318,033432
978,4	0	513266,0805	8553422,991	380,116003	741,761386	61,5662	0	318,549803
983,2	0	513265,6554	8553427,762	380,435468	735,363659	61,0352	0	319,400268
987,2	0	513265,3135	8553431,738	380,69869	735,363659	61,0352	0	319,66349
995,2	0	513264,5859	8553439,686	381,234813	722,568204	59,9732	0	321,261613
1001,6	0	513263,9633	8553446,039	381,684043	716,170476	59,4421	0	322,241943
1004,8	0	513263,6926	8553449,217	381,936613	712,971613	59,1766	0	322,760013
1012	0	513262,948	8553456,359	382,460226	700,176158	58,1146	0	324,345626
1019,2	0	513262,1739	8553463,498	382,976247	696,977294	57,8491	0	325,127147
1028,8	0	513261,1745	8553473,027	383,56128	693,77843	57,5836	0	325,97768
1034,4	0	513260,5533	8553478,582	383,884926	693,77843	57,5836	0	326,301326
1037,6	0	513260,1905	8553481,756	384,063438	690,579566	57,3181	0	326,745338
1043,2	0	513259,5391	8553487,31	384,356594	687,380703	57,0526	0	327,303994
1049,6	0	513258,7994	8553493,658	384,689201	677,784111	56,2561	0	328,433101
1054,4	0	513258,2614	8553498,419	384,968223	668,18752	55,4596	0	329,508623
1059,2	0	513257,7277	8553503,183	385,208253	668,18752	55,4596	0	329,748653
1064	0	513257,2012	8553507,946	385,463319	655,392065	54,3975	0	331,065819
1069,6	0	513256,585	8553513,501	385,795098	655,392065	54,3975	0	331,397598
1076	0	513255,9059	8553519,853	386,174648	645,795474	53,601	0	332,573648
1083,2	0	513255,0807	8553526,992	386,605932	642,59661	53,3355	0	333,270432
1090,4	0	513254,3586	8553534,141	387,059326	642,59661	53,3355	0	333,723826
1094,4	0	513253,9541	8553538,114	387,281812	642,59661	53,3355	0	333,946312
1100,8	0	513253,2903	8553544,469	387,633308	636,198883	52,8045	0	334,828808
1108	0	513252,5645	8553551,621	388,011376	636,198883	52,8045	0	335,206876
1114,4	0	513251,9304	8553557,979	388,35084	639,397747	53,07	0	335,28084
1120	0	513251,3503	8553563,538	388,698975	636,198883	52,8045	0	335,894475
1126,4	0	513250,7109	8553569,894	389,083486	629,801155	52,2735	0	336,809986
1132	0	513250,1434	8553575,454	389,417462	626,602292	52,008	0	337,409462
1137,6	0	513249,6289	8553581,019	389,774806	626,602292	52,008	0	337,766806
1143,2	0	513248,9528	8553586,568	390,103358	620,204564	51,477	0	338,626358
1149,6	0	513248,1903	8553592,909	390,496021	617,0057	51,2115	0	339,284521
1154,4	0	513247,6507	8553597,668	390,813267	625	51,875	0	338,938267
1158,4	0	513247,2155	8553601,635	391,06415	625	51,875	0	339,18915
1164,8	0	513246,5117	8553607,983	391,478911	628,125	52,1344	0	339,344511
1169,6	0	513245,9768	8553612,744	391,767547	628,125	52,1344	0	339,633147
