Dist	TrNo	X,m	Y,m	Z,m	TD, ns	Hice	Amplitud de la señal	Bed,m
44,1	0	512803,8806	8554407,732	545,613238	104,715907	8,6914	0	536,921838
47,7	0	512803,3105	8554404,203	545,187837	107,471588	8,9201	0	536,267737
49,5	0	512802,9924	8554402,444	544,977909	115,738634	9,6063	0	535,371609
54	0	512802,2472	8554398,04	544,427848	121,249997	10,0637	0	534,364148
56,7	0	512801,8359	8554395,392	544,098789	126,761361	10,5212	0	533,577589
59,4	0	512801,4674	8554392,738	543,767123	137,784088	11,4361	0	532,331023
63	0	512800,9559	8554389,203	543,327568	146,051133	12,1222	0	531,205368
65,7	0	512800,5286	8554386,555	543,016686	162,585223	13,4946	0	529,522086
72	0	512799,5212	8554380,379	542,294116	179,119314	14,8669	0	527,427216
76,5	0	512798,9083	8554375,953	541,765232	195,653404	16,2392	0	525,526032
81	0	512798,3124	8554371,527	541,219882	212,187495	17,6116	0	523,608282
86,4	0	512797,5919	8554366,213	540,590292	231,477267	19,2126	0	521,377692
91,8	0	512796,9566	8554360,883	540,003917	250,76704	20,8137	0	519,190217
99	0	512796,0243	8554353,789	539,210136	261,789767	21,7285	0	517,481636
103,5	0	512795,4602	8554349,356	538,678968	275,568175	22,8722	0	515,806768
109,8	0	512794,6734	8554343,144	537,996109	281,079539	23,3296	0	514,666509
117	0	512793,7903	8554336,048	537,161777	289,346584	24,0158	0	513,145977
122,4	0	512793,008	8554330,743	536,539559	297,613629	24,7019	0	511,837659
129,6	0	512792,2769	8554323,643	535,649771	305,880675	25,3881	0	510,261671
134,1	0	512791,6991	8554319,214	535,10802	314,14772	26,0743	0	509,03372
136,8	0	512791,3667	8554316,548	534,836625	316,903402	26,303	0	508,533625
140,4	0	512790,981	8554312,992	534,442388	322,414765	26,7604	0	507,681988
146,7	0	512790,2846	8554306,778	533,69645	336,193174	27,904	0	505,79245
153,9	0	512789,4576	8554299,671	532,896133	344,460219	28,5902	0	504,305933
159,3	0	512788,9125	8554294,335	532,281193	355,482946	29,5051	0	502,776093
164,7	0	512788,2638	8554289,006	531,699679	358,238628	29,7338	0	501,965879
170,1	0	512787,7214	8554283,667	531,103391	366,505673	30,42	0	500,683391
175,5	0	512787,0453	8554278,343	530,504318	385,795445	32,021	0	498,483318
180	0	512786,515	8554273,899	530,038289	391,306809	32,4785	0	497,559789
187,2	0	512785,6512	8554266,785	529,350085	402,329536	33,3934	0	495,956685
193,5	0	512784,8215	8554260,585	528,615909	416,107945	34,537	0	494,078909
198,9	0	512784,1729	8554255,257	528,02347	427,130672	35,4518	0	492,57167
205,2	0	512783,3496	8554249,048	527,35626	438,153399	36,3667	0	490,98956
212,4	0	512782,4247	8554241,95	526,579788	438,153399	36,3667	0	490,213088
216,9	0	512781,8277	8554237,513	526,128243	446,420444	37,0529	0	489,075343
220,5	0	512781,4013	8554233,961	525,72772	446,420444	37,0529	0	488,67482
227,7	0	512780,5068	8554226,854	525,003052	446,420444	37,0529	0	487,950152
