Dist	TrNo	X,m	Y,m	Z,m	TD, ns	Hice	Amplitud de la señal	Bed,m
56	0	512902,8633	8555579,484	411,451629	224	18,592	0	392,859629
61,6	0	512906,2426	8555583,924	410,988982	241,5	20,0445	0	390,944482
67,9	0	512910,102	8555588,88	410,564927	252	20,916	0	389,648927
76,3	0	512915,2808	8555595,467	410,000962	276,5	22,9495	0	387,051462
81,9	0	512918,8259	8555599,778	409,573113	283,5	23,5305	0	386,042613
87,5	0	512922,381	8555604,09	409,253111	304,5	25,2735	0	383,979611
95,2	0	512927,322	8555609,97	408,753706	315	26,145	0	382,608706
99,4	0	512930,0523	8555613,149	408,499072	329	27,307	0	381,192072
107,1	0	512935,1307	8555618,912	407,997626	343	28,469	0	379,528626
112,7	0	512938,8829	8555623,052	407,637866	357	29,631	0	378,006866
119,7	0	512943,641	8555628,162	407,1741	374,5	31,0835	0	376,0906
125,3	0	512947,4969	8555632,204	406,807295	392	32,536	0	374,271295
131,6	0	512951,8714	8555636,718	406,455675	413	34,279	0	372,176675
136,5	0	512955,2052	8555640,3	406,215692	430,5	35,7315	0	370,484192
146,3	0	512961,7754	8555647,551	405,685808	448	37,184	0	368,501808
153,3	0	512966,46	8555652,731	405,241551	476	39,508	0	365,733551
158,9	0	512970,2462	8555656,839	404,907462	497	41,251	0	363,656462
166,6	0	512975,5306	8555662,42	404,483019	511	42,413	0	362,070019
174,3	0	512980,8721	8555667,949	404,075808	528,5	43,8655	0	360,210308
182	0	512986,2006	8555673,491	403,676176	542,5	45,0275	0	358,648676
188,3	0	512990,5576	8555678,026	403,321428	563,5	46,7705	0	356,550928
193,9	0	512994,4854	8555682,006	403,031562	577,5	47,9325	0	355,099062
203,7	0	513001,4523	8555688,876	402,577266	584,5	48,5135	0	354,063766
214,9	0	513009,5056	8555696,637	402,073578	619,5	51,4185	0	350,655078
225,4	0	513016,8166	8555704,158	401,668281	637	52,871	0	348,797281
235,2	0	513023,5468	8555711,269	401,29035	651	54,033	0	347,25735
243,6	0	513029,4008	8555717,285	401,01352	651	54,033	0	346,98052
250,6	0	513034,3262	8555722,251	400,75644	668,5	55,4855	0	345,27094
256,9	0	513038,7336	8555726,746	400,540742	689,5	57,2285	0	343,312242
264,6	0	513044,107	8555732,256	400,306203	710,5	58,9715	0	341,334703
272,3	0	513049,4008	8555737,841	400,117903	738,5	61,2955	0	338,822403
278,6	0	513053,6826	8555742,455	399,944519	770	63,91	0	336,034519
284,9	0	513057,9013	8555747,13	399,784306	770	63,91	0	335,874306
294	0	513063,8822	8555753,983	399,58185	784	65,072	0	334,50985
303,1	0	513070,0007	8555760,709	399,321045	794,5	65,9435	0	333,377545
312,2	0	513076,1548	8555767,406	399,080248	794,5	65,9435	0	333,136748
319,9	0	513081,4431	8555772,996	398,815786	784	65,072	0	333,743786
325,5	0	513085,3061	8555777,045	398,623915	784	65,072	0	333,551915
332,5	0	513090,2274	8555782,014	398,372355	784	65,072	0	333,300355
340,2	0	513095,7022	8555787,416	398,03077	777	64,491	0	333,53977
348,6	0	513101,6124	8555793,372	397,677113	766,5	63,6195	0	334,057613
356,3	0	513106,8581	8555799,002	397,439237	756	62,748	0	334,691237
364,7	0	513112,5626	8555805,156	397,114577	738,5	61,2955	0	335,819077
375,9	0	513120,2712	8555813,269	396,74432	724,5	60,1335	0	336,61082
385,7	0	513127,1311	8555820,253	396,341549	714	59,262	0	337,079549
395,5	0	513133,9794	8555827,249	395,948783	693	57,519	0	338,429783
400,4	0	513137,3769	8555830,775	395,793823	686	56,938	0	338,855823
408,8	0	513143,1531	8555836,863	395,472285	679	56,357	0	339,115285
413,7	0	513146,5502	8555840,389	395,316218	654,5	54,3235	0	340,992718
417,2	0	513148,9501	8555842,928	395,111227	644	53,452	0	341,659227
420	0	513150,8542	8555844,978	395,01565	633,5	52,5805	0	342,43515
424,2	0	513153,7638	8555848,001	394,828861	626,5	51,9995	0	342,829361
427,7	0	513156,1875	8555850,521	394,682099	616	51,128	0	343,554099
432,6	0	513159,5956	8555854,037	394,523129	609	50,547	0	343,976129
437,5	0	513163,0093	8555857,546	394,331193	595	49,385	0	344,946193
443,1	0	513166,9382	8555861,533	394,18509	584,5	48,5135	0	345,67159
449,4	0	513171,3902	8555865,985	394,022902	570,5	47,3515	0	346,671402
455,7	0	513175,8532	8555870,424	393,82779	560	46,48	0	347,34779
464,1	0	513181,8655	8555876,277	393,486006	546	45,318	0	348,168006
470,4	0	513186,4351	8555880,606	393,243176	546	45,318	0	347,925176
479,5	0	513192,8014	8555887,098	392,93358	553	45,899	0	347,03458
485,8	0	513197,2383	8555891,566	392,777624	556,5	46,1895	0	346,588124
492,1	0	513201,5818	8555896,125	392,634389	553	45,899	0	346,735389
498,4	0	513205,9267	8555900,682	392,481305	549,5	45,6085	0	346,872805
503,3	0	513209,2897	8555904,243	392,379183	542,5	45,0275	0	347,351683
508,2	0	513212,6798	8555907,778	392,250536	542,5	45,0275	0	347,223036
513,1	0	513216,0579	8555911,324	392,109425	542,5	45,0275	0	347,081925
516,6	0	513218,4858	8555913,842	392,003274	539	44,737	0	347,266274
519,4	0	513220,453	8555915,833	391,963187	532	44,156	0	347,807187
523,6	0	513223,4483	8555918,776	391,913729	535,5	44,4465	0	347,467229
529,2	0	513227,4466	8555922,695	391,842467	525	43,575	0	348,267467
534,8	0	513231,5134	8555926,542	391,744587	521,5	43,2845	0	348,460087
539,7	0	513235,0985	8555929,881	391,655413	511	42,413	0	349,242413
