Dist	TrNo	X,m	Y,m	Z,m	TD, ns	Hice	Amplitud de la señal	Bed,m
370,4	0	512441,6235	8551914,872	408,836829	293,295465	24,3435	0	384,493329
374,4	0	512439,7572	8551911,338	408,939963	295,994328	24,5675	0	384,372463
379,2	0	512437,7162	8551907	409,097107	293,295465	24,3435	0	384,753607
384	0	512435,816	8551902,596	409,136052	301,392056	25,0155	0	384,120552
387,2	0	512434,4823	8551899,689	409,132007	301,392056	25,0155	0	384,116507
392,8	0	512432,145	8551894,603	409,298051	301,392056	25,0155	0	384,282551
398,4	0	512429,7943	8551889,53	409,404256	295,994328	24,5675	0	384,836756
401,6	0	512428,3678	8551886,667	409,412842	290,596601	24,1195	0	385,293342
408	0	512425,6691	8551880,868	409,502413	277,102282	22,9995	0	386,502913
410,4	0	512424,5838	8551878,73	409,553029	274,403418	22,7755	0	386,777529
416	0	512422,1102	8551873,719	409,672055	263,607963	21,8795	0	387,792555
420,8	0	512420,0104	8551869,407	409,819347	255,511372	21,2074	0	388,611947
424,8	0	512418,3303	8551865,78	409,820314	252,812508	20,9834	0	388,836914
428,8	0	512416,5195	8551862,218	409,892149	250,113645	20,7594	0	389,132749
432	0	512415,0488	8551859,378	409,9262	250,113645	20,7594	0	389,1668
436,8	0	512413,0964	8551854,994	409,963933	250,113645	20,7594	0	389,204533
441,6	0	512411,0588	8551850,651	410,049175	263,607963	21,8795	0	388,169675
444	0	512410,0007	8551848,498	410,08064	266,306827	22,1035	0	387,97714
448,8	0	512407,8677	8551844,201	410,17333	271,704555	22,5515	0	387,62183
450,4	0	512407,1884	8551842,752	410,177219	274,403418	22,7755	0	387,401719
454,4	0	512405,455	8551839,158	410,034246	282,50001	23,4475	0	386,586746
457,6	0	512404,0721	8551836,29	409,842813	287,897737	23,8955	0	385,947313
461,6	0	512402,4574	8551832,869	409,954619	293,295465	24,3435	0	385,611119
465,6	0	512400,624	8551829,385	410,23989	295,994328	24,5675	0	385,67239
470,4	0	512398,5158	8551825,074	410,322826	301,392056	25,0155	0	385,307326
476	0	512396,1088	8551820,019	410,397742	306,789783	25,4636	0	384,934142
480	0	512394,4567	8551816,379	410,4646	314,886374	26,1356	0	384,329
484,8	0	512392,4111	8551812,039	410,557708	322,982966	26,8076	0	383,750108
488,8	0	512390,7082	8551808,424	410,671042	328,380693	27,2556	0	383,415442
492,8	0	512388,9366	8551804,84	410,739864	336,477284	27,9276	0	382,812264
498,4	0	512386,4906	8551799,806	410,865387	339,176148	28,1516	0	382,713787
501,6	0	512385,0333	8551796,96	410,947382	344,573876	28,5996	0	382,347782
506,4	0	512382,9212	8551792,652	411,035873	352,670467	29,2716	0	381,764273
509,6	0	512381,4902	8551789,791	411,109331	360,767058	29,9437	0	381,165631
516,8	0	512378,2423	8551783,37	411,2723	368,863649	30,6157	0	380,6566
520,8	0	512376,4169	8551779,813	411,353384	374,261377	31,0637	0	380,289684
527,2	0	512373,4953	8551774,122	411,525397	385,056832	31,9597	0	379,565697
533,6	0	512370,6664	8551768,388	411,592501	393,153423	32,6317	0	378,960801
539,2	0	512368,2042	8551763,366	411,729985	398,551151	33,0797	0	378,650285
544,8	0	512365,7868	8551758,32	411,851619	398,551151	33,0797	0	378,771919
549,6	0	512363,7141	8551753,991	411,878356	398,551151	33,0797	0	378,798656
556	0	512360,9258	8551748,233	411,952208	403,948878	33,5278	0	378,424408
561,6	0	512358,4838	8551743,194	412,008647	412,045469	34,1998	0	377,808847
567,2	0	512356,0193	8551738,166	412,035738	414,744333	34,4238	0	377,611938
569,6	0	512354,9729	8551736,007	412,054993	425,539788	35,3198	0	376,735193
572,8	0	512353,592	8551733,121	412,084623	425,539788	35,3198	0	376,764823
577,6	0	512351,449	8551728,826	412,04273	433,636379	35,9918	0	376,05093
579,2	0	512350,7569	8551727,384	412,059752	439,034107	36,4398	0	375,619952
584,8	0	512348,3288	8551722,339	412,004777	444,431834	36,8878	0	375,116977
589,6	0	512346,233	8551718,025	411,961604	452,528425	37,5599	0	374,401704
593,6	0	512344,5097	8551714,418	411,87632	452,528425	37,5599	0	374,31642
597,6	0	512342,7095	8551710,846	411,837415	457,926153	38,0079	0	373,829515
601,6	0	512340,9447	8551707,257	411,841393	463,32388	38,4559	0	373,385493
607,2	0	512338,421	8551702,262	411,875951	457,926153	38,0079	0	373,868051
612,8	0	512335,9898	8551697,219	411,850662	471,420472	39,1279	0	372,722762
615,2	0	512334,9282	8551695,069	411,841905	471,420472	39,1279	0	372,714005
619,2	0	512333,1694	8551691,48	411,757497	471,420472	39,1279	0	372,629597
622,4	0	512331,7715	8551688,627	411,916253	474,119335	39,3519	0	372,564353
625,6	0	512330,3845	8551685,983	411,671386	468,721608	38,9039	0	372,767486
626,4	0	512330,0296	8551685,267	411,714613	468,721608	38,9039	0	372,810713
628	0	512329,3312	8551683,828	411,712374	468,721608	38,9039	0	372,808474
632,8	0	512327,2294	8551679,514	411,61233	463,32388	38,4559	0	373,15643
634,4	0	512326,4937	8551678,093	411,601178	463,32388	38,4559	0	373,145278
640	0	512323,976	8551673,094	411,498384	463,32388	38,4559	0	373,042484
642,4	0	512322,9842	8551670,917	411,55295	463,32388	38,4559	0	373,09705
645,6	0	512321,7007	8551668,105	411,565303	463,32388	38,4559	0	373,109403
650,4	0	512319,6199	8551663,851	411,25312	468,721608	38,9039	0	372,34922
652	0	512318,8865	8551662,429	411,232181	471,420472	39,1279	0	372,104281
655,2	0	512317,4471	8551659,572	411,176971	476,818199	39,5759	0	371,601071
658,4	0	512316,0232	8551656,707	411,115587	479,517063	39,7999	0	371,315687
660,8	0	512314,9848	8551654,544	411,108123	482,215927	40,0239	0	371,084223
664	0	512313,5726	8551651,673	411,045289	482,215927	40,0239	0	371,021389
667,2	0	512312,1852	8551648,79	410,98972	490,312518	40,6959	0	370,29382
671,2	0	512310,4465	8551645,189	410,900084	493,011382	40,9199	0	369,980184
673,6	0	512309,4081	8551643,026	410,890632	501,107973	41,592	0	369,298632
676	0	512308,4024	8551640,847	410,881961	501,107973	41,592	0	369,289961
678,4	0	512307,4079	8551638,665	410,868569	506,5057	42,04	0	368,828569
680,8	0	512306,3787	8551636,5	410,764549	511,903428	42,488	0	368,276549
683,2	0	512305,2924	8551634,363	410,71786	511,903428	42,488	0	368,22986
685,6	0	512304,2507	8551632,203	410,73339	520,000019	43,16	0	367,57339
687,2	0	512303,557	8551630,761	410,762481	522,698883	43,384	0	367,378481
689,6	0	512302,5381	8551628,589	410,74415	534,312497	44,3479	0	366,39625
692,8	0	512301,1481	8551625,707	410,698654	539,232951	44,7563	0	365,942354
696,8	0	512299,4319	8551622,099	410,632709	549,07386	45,5731	0	365,059609
698,4	0	512298,7496	8551620,653	410,623458	551,534088	45,7773	0	364,846158
701,6	0	512297,3941	8551617,755	410,558223	558,914769	46,3899	0	364,168323
704	0	512296,3495	8551615,595	410,49539	563,835224	46,7983	0	363,69709
706,4	0	512295,2858	8551613,445	410,43116	571,215906	47,4109	0	363,02026
708,8	0	512294,1976	8551611,306	410,431812	578,596587	48,0235	0	362,408312
711,2	0	512293,1613	8551609,141	410,405476	583,517042	48,4319	0	361,973576
714,4	0	512291,8083	8551606,242	410,438006	593,357951	49,2487	0	361,189306
716,8	0	512290,7749	8551604,076	410,413081	585,977269	48,6361	0	361,776981
719,2	0	512289,7066	8551601,927	410,38391	590,897724	49,0445	0	361,33941
720,8	0	512289,0132	8551600,486	410,358484	598,278405	49,6571	0	360,701384
724	0	512287,636	8551597,597	410,346131	608,119314	50,4739	0	359,872231
726,4	0	512286,6055	8551595,43	410,370138	615,499996	51,0865	0	359,283638
729,6	0	512285,2058	8551592,553	410,342644	617,960223	51,2907	0	359,051944
732,8	0	512283,8904	8551589,844	409,675453	622,880678	51,6991	0	357,976353
736	0	512282,3698	8551587,045	409,835005	625,340905	51,9033	0	357,931705
739,2	0	512280,9591	8551584,173	409,834442	630,26136	52,3117	0	357,522742
743,2	0	512279,1363	8551580,614	409,77341	637,642041	52,9243	0	356,84911
746,4	0	512277,6795	8551577,765	409,742186	642,562496	53,3327	0	356,409486
749,6	0	512276,2089	8551574,926	409,659988	642,562496	53,3327	0	356,327288
753,6	0	512274,3673	8551571,376	409,646403	642,562496	53,3327	0	356,313703
756,8	0	512272,9145	8551568,525	409,616473	645,022723	53,5369	0	356,079573
760	0	512271,4799	8551565,664	409,595122	642,562496	53,3327	0	356,262422
763,2	0	512270,1041	8551562,776	409,618181	637,642041	52,9243	0	356,693881
766,4	0	512268,7246	8551559,889	409,586161	640,102269	53,1285	0	356,457661
769,6	0	512267,384	8551556,984	409,620495	647,48295	53,7411	0	355,879395
772,8	0	512265,9838	8551554,107	409,625203	652,403405	54,1495	0	355,475703
776,8	0	512264,2732	8551550,491	409,633121	659,784087	54,7621	0	354,871021
782,4	0	512261,9402	8551545,401	409,688565	669,624996	55,5789	0	354,109665
785,6	0	512260,5699	8551542,51	409,737384	674,54545	55,9873	0	353,750084
790,4	0	512258,5508	8551538,156	409,73786	681,926132	56,5999	0	353,13796
794,4	0	512256,8447	8551534,539	409,762443	679,465905	56,3957	0	353,366743
799,2	0	512254,7845	8551530,205	409,764874	681,926132	56,5999	0	353,164974
803,2	0	512253,0553	8551526,598	409,806789	686,846586	57,0083	0	352,798489
806,4	0	512251,6456	8551523,726	409,785341	686,846586	57,0083	0	352,777041
810,4	0	512249,8888	8551520,133	409,829664	686,846586	57,0083	0	352,821364
812,8	0	512248,8231	8551517,983	409,873943	686,846586	57,0083	0	352,865643
815,2	0	512247,7903	8551515,819	409,956737	681,926132	56,5999	0	353,356837
820,8	0	512245,4724	8551510,724	410,084545	689,306814	57,2125	0	352,872045
824	0	512244,0849	8551507,842	410,119572	691,767041	57,4167	0	352,702872
827,2	0	512242,7255	8551504,946	410,166954	689,306814	57,2125	0	352,954454
834,4	0	512239,7079	8551498,411	410,272031	691,767041	57,4167	0	352,855331
837,6	0	512238,2791	8551495,548	410,269883	684,386359	56,8041	0	353,465783
841,6	0	512236,5301	8551491,951	410,288523	681,926132	56,5999	0	353,688623
844	0	512235,4901	8551489,788	410,299613	684,386359	56,8041	0	353,495513
848	0	512233,7508	8551486,187	410,333631	684,386359	56,8041	0	353,529531
850,4	0	512232,7048	8551484,027	410,346129	684,386359	56,8041	0	353,542029
853,6	0	512231,2881	8551481,158	410,370111	689,306814	57,2125	0	353,157611
856,8	0	512229,9075	8551478,274	410,487245	689,306814	57,2125	0	353,274745
860	0	512228,5123	8551475,395	410,537173	689,306814	57,2125	0	353,324673
864	0	512226,8158	8551471,774	410,625867	689,306814	57,2125	0	353,413367
867,2	0	512225,4392	8551468,885	410,632028	689,306814	57,2125	0	353,419528
869,6	0	512224,42	8551466,713	410,690976	694,227268	57,6209	0	353,070076
872	0	512223,3785	8551464,552	410,708187	696,687495	57,8251	0	352,883087
876	0	512221,699	8551460,923	410,793846	696,687495	57,8251	0	352,968746
879,2	0	512220,3424	8551458,027	410,902944	701,60795	58,2335	0	352,669444
882,4	0	512218,9685	8551455,138	410,969363	704,068177	58,4377	0	352,531663
884,8	0	512217,9502	8551452,966	411,02659	694,227268	57,6209	0	353,40569
888	0	512216,6161	8551450,06	411,126814	691,767041	57,4167	0	353,710114
891,2	0	512215,2316	8551447,176	411,204978	691,767041	57,4167	0	353,788278
893,6	0	512214,204	8551445,008	411,236574	689,306814	57,2125	0	354,024074
896,8	0	512212,7629	8551442,152	411,274841	691,767041	57,4167	0	353,858141
