Dist	TrNo	X,m	Y,m	Z,m	TD, ns	Hice	Amplitud de la señal	Bed,m
108,8	0	511066,4378	8562419,657	532,270121	87,306817	7,2465	0	525,023621
120,8	0	511055,2437	8562415,34	532,354825	97,380681	8,0826	0	524,272225
132	0	511044,7628	8562411,396	532,282732	120,886362	10,0336	0	522,249132
147,2	0	511030,5492	8562406,018	532,249495	157,823862	13,0994	0	519,150095
166,4	0	511012,6165	8562399,173	531,973632	177,971589	14,7716	0	517,202032
176,8	0	511002,9596	8562395,324	531,801001	171,25568	14,2142	0	517,586801
192,8	0	510988,1434	8562389,303	531,53634	201,47727	16,7226	0	514,81374
210,4	0	510971,9062	8562382,53	531,094545	221,624997	18,3949	0	512,699645
223,2	0	510960,1669	8562377,448	530,709434	255,204542	21,182	0	509,527434
234,4	0	510949,9311	8562372,915	530,444071	282,068178	23,4117	0	507,032371
248,8	0	510936,7036	8562367,251	530,024699	305,57386	25,3626	0	504,662099
262,4	0	510924,1443	8562362,055	529,606342	315,647723	26,1988	0	503,407542
275,2	0	510912,3282	8562357,157	529,24761	335,79545	27,871	0	501,37661
296	0	510893,2597	8562348,899	528,64995	382,806813	31,773	0	496,87695
304,8	0	510885,1762	8562345,43	528,431149	413,028404	34,2814	0	494,149749
320,8	0	510870,4814	8562339,115	528,079025	429,818176	35,6749	0	492,404125
340	0	510852,855	8562331,519	527,697699	496,977266	41,2491	0	486,448599
352,8	0	510841,1838	8562326,282	527,408746	527,198857	43,7575	0	483,651246
372,8	0	510822,7885	8562318,461	526,919064	564,136356	46,8233	0	480,095764
382,4	0	510813,8401	8562315,001	526,640052	564,136356	46,8233	0	479,816752
407,2	0	510790,9855	8562305,422	526,043874	594,357947	49,3317	0	476,712174
425,6	0	510774,0752	8562298,186	525,679552	641,36931	53,2337	0	472,445852
441,6	0	510759,3295	8562291,99	525,456228	661,517037	54,9059	0	470,550328
463,2	0	510739,3204	8562283,866	525,236809	685,022718	56,8569	0	468,379909
480	0	510723,8789	8562277,258	525,062519	728,676127	60,4801	0	464,582419
494,4	0	510710,7054	8562271,449	524,947643	772,329535	64,1033	0	460,844343
508	0	510698,1238	8562266,301	524,763979	782,403399	64,9395	0	459,824479
524,8	0	510682,1545	8562261,098	524,484911	792,477262	65,7756	0	458,709311
544,8	0	510663,0605	8562255,162	524,196142	799,193172	66,333	0	457,863142
564,8	0	510644,3429	8562248,129	523,935962	812,62499	67,4479	0	456,488062
581,6	0	510628,8917	8562241,544	523,792009	836,130671	69,3988	0	454,393209
595,2	0	510616,512	8562235,918	523,681022	869,710216	72,1859	0	451,495122
614,4	0	510598,9646	8562228,13	523,514297	896,573852	74,4156	0	449,098697
629,6	0	510585,0025	8562222,128	523,444062	933,511352	77,4814	0	445,962662
644	0	510571,7738	8562216,446	523,407732	977,16476	81,1047	0	442,303032
663,2	0	510554,2035	8562208,71	523,274577	1007,386351	83,6131	0	439,661477
683,2	0	510535,7453	8562201,014	523,261081	1037,607941	86,1215	0	437,139581
708,8	0	510512,1278	8562191,144	523,277279	1121,556804	93,0892	0	430,188079
728	0	510494,2783	8562184,08	523,369408	1151,778394	95,5976	0	427,771808
739,2	0	510483,8275	8562180,055	523,410642	1163,681807	96,5856	0	426,825042
748	0	510475,6237	8562176,874	523,472828	1176,56817	97,6552	0	425,817628
756	0	510468,1987	8562173,897	523,508639	1198,045443	99,4378	0	424,070839
765,6	0	510459,2754	8562170,36	523,618224	1219,522715	101,2204	0	422,397824
775,2	0	510450,3478	8562166,834	523,711832	1236,704533	102,6465	0	421,065332
784,8	0	510441,4444	8562163,249	523,854327	1262,47726	104,7856	0	419,068727
796	0	510431,0834	8562158,999	523,985852	1305,431805	108,3508	0	415,635052
809,6	0	510418,5189	8562153,801	524,169237	1374,159077	114,0552	0	410,114037
