Dist	TrNo	X,m	Y,m	Z,m	TD, ns	Hice	Amplitud de la señal	Bed,m
48,3	0	510655,4389	8561662,797	514,937507	681,051143	56,5272	0	458,410307
65,8	0	510672,7745	8561665,161	514,795165	719,971598	59,7576	0	455,037565
80,5	0	510687,3652	8561666,923	514,713952	751,107962	62,342	0	452,371952
93,1	0	510699,8592	8561668,53	514,707041	782,244326	64,9263	0	449,780741
110,6	0	510717,2616	8561670,343	514,672384	832,840918	69,1258	0	445,546584
130,2	0	510736,7482	8561672,414	514,586792	879,545464	73,0023	0	441,584492
144,9	0	510751,3578	8561674,013	514,543687	922,357964	76,5557	0	437,987987
159,6	0	510765,9375	8561675,863	514,419601	972,954556	80,7552	0	433,664401
175,7	0	510781,9242	8561677,732	514,241337	1043,011374	86,5699	0	427,671437
203	0	510809,0543	8561680,707	513,905292	1046,90342	86,893	0	427,012292
233,1	0	510838,9821	8561683,774	513,13844	1011,87501	83,9856	0	429,15284
260,4	0	510866,1592	8561686,198	512,501866	1007,982965	83,6626	0	428,839266
296,1	0	510901,6353	8561689,931	511,429062	996,306828	82,6935	0	428,735562
319,2	0	510924,6353	8561691,773	510,423602	945,710237	78,4939	0	431,929702
337,4	0	510942,7612	8561693,017	509,553997	914,573873	75,9096	0	433,644397
362,6	0	510967,8916	8561693,975	508,075413	879,545464	73,0023	0	435,073113
384,3	0	510989,4756	8561695,4	506,414938	856,193191	71,064	0	435,350938
406	0	511010,993	8561697,383	504,503921	828,948872	68,8028	0	435,701121
434	0	511038,6485	8561700,655	501,709246	774,460235	64,2802	0	437,429046
459,2	0	511063,4384	8561703,843	498,657152	747,215917	62,0189	0	436,638252
483	0	511086,6711	8561708,366	496,245495	712,187507	59,1116	0	437,133895
511,7	0	511115,0372	8561712,031	493,981413	661,590916	54,912	0	439,069413
546	0	511149,0034	8561716,613	492,915109	653,806825	54,266	0	438,649109
569,1	0	511171,8891	8561719,702	492,623109	708,295462	58,7885	0	433,834609
588,7	0	511191,3983	8561721,501	492,672755	758,892053	62,988	0	429,684755
605,5	0	511208,1672	8561722,472	492,847114	809,488645	67,1876	0	425,659514
618,8	0	511221,4418	8561723,224	493,051983	848,4091	70,418	0	422,633983
633,5	0	511236,1099	8561724,1	493,242552	902,897737	74,9405	0	418,302052
657,3	0	511259,8486	8561725,639	493,636869	996,306828	82,6935	0	410,943369
682,5	0	511284,9677	8561727,549	493,979683	1066,363647	88,5082	0	405,471483
704,2	0	511306,6049	8561729,091	494,373261	1124,74433	93,3538	0	401,019461
735,7	0	511338,0075	8561731,433	494,780523	1253,181831	104,0141	0	390,766423
757,4	0	511359,6236	8561733,283	494,972738	1327,130696	110,1518	0	384,820938
782,6	0	511384,6952	8561735,73	495,338194	1393,295469	115,6435	0	379,694694
802,9	0	511404,8454	8561738,128	495,472097	1436,10797	119,197	0	376,275097
840	0	511441,6788	8561742,467	495,74632	1467,244334	121,7813	0	373,96502
867,3	0	511468,8425	8561745,095	496,003889	1443,892061	119,843	0	376,160889
888,3	0	511489,782	8561746,605	496,089138	1401,07956	116,2896	0	379,799538
908,6	0	511510,0194	8561748,078	496,125858	1366,051151	113,3822	0	382,743658
932,4	0	511533,7259	8561750,053	496,209709	1338,806832	111,121	0	385,088709
954,8	0	511556,0122	8561752,181	496,345252	1307,670468	108,5366	0	387,808652
973	0	511574,1382	8561753,784	496,448573	1284,318195	106,5984	0	389,850173
993,3	0	511594,3862	8561755,167	496,553729	1276,534104	105,9523	0	390,601429
1017,8	0	511618,7506	8561757,656	496,516538	1253,181831	104,0141	0	392,502438
1039,5	0	511640,3796	8561759,355	496,662458	1245,39774	103,368	0	393,294458
1068,2	0	511668,9516	8561761,985	496,883603	1210,369331	100,4607	0	396,422903
1091,3	0	511691,9466	8561764,109	497,083029	1171,448876	97,2303	0	399,852729
1109,5	0	511710,0893	8561765,44	497,255872	1155,880694	95,9381	0	401,317772
1131,9	0	511732,3337	8561767,933	497,454495	1132,528421	93,9999	0	403,454595
1149,4	0	511749,5586	8561770,978	497,7546	1097,500011	91,0925	0	406,6621
1164,1	0	511764,1259	8561772,889	497,976716	1070,255693	88,8312	0	409,145516
1183	0	511782,9327	8561774,718	498,152584	1031,335238	85,6008	0	412,551784
1201,9	0	511801,741	8561776,506	498,264516	992,414783	82,3704	0	415,894116
1224,3	0	511824,0351	8561778,557	498,492257	965,170465	80,1091	0	418,383157
1243,2	0	511842,8516	8561780,184	498,710338	937,926146	77,8479	0	420,862438
1262,8	0	511862,365	8561781,903	498,939965	922,357964	76,5557	0	422,384265
1283,8	0	511883,2458	8561784,079	499,263543	918,465919	76,2327	0	423,030843
1303,4	0	511902,7667	8561785,766	499,570909	918,465919	76,2327	0	423,338209
1323,7	0	511922,967	8561787,684	499,932402	906,789782	75,2635	0	424,668902
1338,4	0	511937,599	8561789,032	500,248605	853,295423	70,8235	0	429,425105
1355,9	0	511955,0456	8561790,24	500,770251	832,386333	69,0881	0	431,682151
1374,1	0	511973,2122	8561790,977	501,373006	824,545424	68,4373	0	432,935706
1389,5	0	511988,5858	8561791,616	501,911194	814,090879	67,5695	0	434,341694
1407	0	512006,0459	8561792,567	502,505481	787,954516	65,4002	0	437,105281
1417,5	0	512016,519	8561793,048	503,050774	759,204518	63,014	0	440,036774
1432,2	0	512031,2052	8561793,39	503,521988	756,590881	62,797	0	440,724988
1447,6	0	512046,5913	8561793,057	503,98161	730,454519	60,6277	0	443,35391
1463	0	512061,9687	8561792,544	504,534699	719,999974	59,76	0	444,774699
1477,7	0	512076,6581	8561792,457	504,940236	693,863611	57,5907	0	447,349536
1492,4	0	512091,3455	8561792,617	505,404902	657,272704	54,5536	0	450,851302
1505	0	512103,9256	8561792,877	505,85705	636,363614	52,8182	0	453,03885
1520,4	0	512119,3123	8561793,096	506,326593	620,681796	51,5166	0	454,809993
1540	0	512138,8942	8561793,652	506,848417	604,999979	50,215	0	456,633417
1560,3	0	512159,1756	8561794,335	507,226103	602,386342	49,9981	0	457,228003
1578,5	0	512177,3691	8561794,211	507,571555	589,318161	48,9134	0	458,658155
1596	0	512194,8618	8561794,13	507,881439	582,676133	48,3621	0	459,519339
1606,5	0	512205,3545	8561794,312	508,095625	582,676133	48,3621	0	459,733525
1621,2	0	512220,0274	8561795,049	508,402367	599,977269	49,7981	0	458,604267
1628,9	0	512227,6937	8561795,746	508,520807	606,897724	50,3725	0	458,148307
1644,3	0	512242,9859	8561797,53	508,792121	606,897724	50,3725	0	458,419621
1655,5	0	512254,0969	8561798,909	509,009032	606,897724	50,3725	0	458,636532
1670,2	0	512268,7053	8561800,467	509,334644	599,977269	49,7981	0	459,536544
1682,1	0	512280,5506	8561801,525	509,233122	586,13636	48,6493	0	460,583822
1692,6	0	512291,027	8561802,184	509,241961	582,676133	48,3621	0	460,879861
1703,1	0	512301,4777	8561803,117	509,209891	575,755678	47,7877	0	461,422191
1710,8	0	512309,1384	8561803,884	509,239054	575,755678	47,7877	0	461,451354
