Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
28870,485	6754	33X	514880,608	8560258,66	341,2829	1625	136,5	204,7829
28874,568	6755	33X	514876,668	8560257,619	341,0312	1640	137,76	203,2712
28878,568	6756	33X	514872,7987	8560256,648	340,7489	1650	138,6	202,1489
28882,698	6757	33X	514868,7978	8560255,677	340,4211	1660	139,44	200,9811
28887,172	6758	33X	514864,4631	8560254,639	340,7831	1670	140,28	200,5031
28892,138	6759	33X	514859,6555	8560253,481	340,3276	1680	141,12	199,2076
28897,481	6760	33X	514854,4883	8560252,215	340,5774	1690	141,96	198,6174
28903,022	6761	33X	514849,1379	8560250,87	340,0629	1700	142,8	197,2629
28908,581	6762	33X	514843,7805	8560249,474	340,3145	1710	143,64	196,6745
28914,023	6763	33X	514838,5501	8560248,041	339,8552	1720	144,48	195,3752
28919,396	6764	33X	514833,4105	8560246,535	340,1782	1730	145,32	194,8582
28924,792	6765	33X	514828,2828	8560244,906	339,7694	1740	146,16	193,6094
28930,305	6766	33X	514823,0883	8560243,104	340,1146	1760	147,84	192,2746
28935,984	6767	33X	514817,7898	8560241,102	339,7042	1775	149,1	190,6042
28941,688	6768	33X	514812,5158	8560238,968	339,2963	1795	150,78	188,5163
28947,227	6769	33X	514807,4366	8560236,792	338,9034	1815	152,46	186,4434
28952,411	6770	33X	514802,7223	8560234,667	338,5382	1830	153,72	184,8182
28957,119	6771	33X	514798,4809	8560232,651	338,2078	1850	155,4	182,8078
28961,509	6772	33X	514794,5718	8560230,677	337,8976	1865	156,66	181,2376
28965,81	6773	33X	514790,7926	8560228,647	337,5877	1885	158,34	179,2477
28970,251	6774	33X	514786,9404	8560226,463	337,2579	1900	159,6	177,6579
28975,059	6775	33X	514782,8127	8560224,025	337,6383	1920	161,28	176,3583
28980,393	6776	33X	514778,2659	8560221,269	337,2176	1940	162,96	174,2576
28986,138	6777	33X	514773,393	8560218,258	336,7699	1960	164,64	172,1299
28992,112	6778	33X	514768,3457	8560215,093	336,3281	1980	166,32	170,0081
28998,132	6779	33X	514763,2761	8560211,871	335,925	1995	167,58	168,345
29004,052	6780	33X	514758,3053	8560208,674	335,5868	2015	169,26	166,3268
29009,864	6781	33X	514753,4316	8560205,52	335,3132	2035	170,94	164,3732
29015,595	6782	33X	514748,6223	8560202,411	335,0971	2055	172,62	162,4771
29021,272	6783	33X	514743,8449	8560199,348	334,9313	2075	174,3	160,6313
29026,925	6784	33X	514739,0647	8560196,333	334,8097	2090	175,56	159,2497
29032,59	6785	33X	514734,2387	8560193,367	335,4797	2110	177,24	158,2397
29038,306	6786	33X	514729,3214	8560190,454	335,4395	2130	178,92	156,5195
29044,113	6787	33X	514724,2678	8560187,593	335,4374	2150	180,6	154,8374
29050,016	6788	33X	514719,0679	8560184,799	335,4692	2165	181,86	153,6092
29055,878	6789	33X	514713,8532	8560182,121	335,5214	2185	183,54	151,9814
29061,523	6790	33X	514708,7907	8560179,624	335,578	2205	185,22	150,358
29066,776	6791	33X	514704,0472	8560177,368	335,6232	2225	186,9	148,7232
29071,528	6792	33X	514699,727	8560175,39	335,6442	2240	188,16	147,4842
29075,941	6793	33X	514695,684	8560173,62	335,6408	2260	189,84	145,8008
29080,246	6794	33X	514691,7092	8560171,966	335,616	2280	191,52	144,096
29084,675	6795	33X	514687,594	8560170,331	335,5727	2300	193,2	142,3727
29089,456	6796	33X	514683,1294	8560168,622	335,5139	2315	194,46	141,0539
29094,748	6797	33X	514678,1718	8560166,769	335,4435	2335	196,14	139,3035
29100,432	6798	33X	514672,8377	8560164,809	335,3681	2355	197,82	137,5481
29106,315	6799	33X	514667,3089	8560162,8	335,2955	2375	199,5	135,7955
29112,205	6800	33X	514661,767	8560160,805	335,2333	2390	200,76	134,4733
29117,96	6801	33X	514656,3497	8560158,865	335,1872	2410	202,44	132,7472
29123,627	6802	33X	514651,0183	8560156,942	335,1553	2430	204,12	131,0353
29129,306	6803	33X	514645,6899	8560154,979	335,1339	2450	205,8	129,3339
29135,092	6804	33X	514640,2819	8560152,92	334,3692	2465	207,06	127,3092
29141,036	6805	33X	514634,7556	8560150,731	334,3568	2490	209,16	125,1968
29146,988	6806	33X	514629,2493	8560148,472	334,3392	2510	210,84	123,4992
29152,749	6807	33X	514623,9452	8560146,224	334,3081	2530	212,52	121,7881
29158,119	6808	33X	514619,0258	8560144,071	334,2552	2555	214,62	119,6352
29162,973	6809	33X	514614,6074	8560142,065	334,1743	2575	216,3	117,8743
29167,474	6810	33X	514610,5421	8560140,134	334,0661	2600	218,4	115,6661
29171,862	6811	33X	514606,6161	8560138,179	333,9333	2620	220,08	113,8533
29176,375	6812	33X	514602,6156	8560136,097	333,7788	2640	221,76	112,0188
29181,249	6813	33X	514598,3267	8560133,788	332,8551	2665	223,86	108,9951
29186,649	6814	33X	514593,6	8560131,184	332,666	2685	225,54	107,126
29192,45	6815	33X	514588,5438	8560128,347	332,4691	2710	227,64	104,8291
29198,453	6816	33X	514583,3307	8560125,376	332,273	2730	229,32	102,953
29204,461	6817	33X	514578,1336	8560122,367	332,0862	2750	231	101,0862
29210,326	6818	33X	514573,0793	8560119,397	331,9192	2775	233,1	98,8192
29216,095	6819	33X	514568,1115	8560116,467	331,7893	2795	234,78	97,0093
29221,867	6820	33X	514563,1281	8560113,556	331,7158	2820	236,88	94,8358
29227,739	6821	33X	514558,027	8560110,646	331,7177	2840	238,56	93,1577
29233,763	6822	33X	514552,7535	8560107,736	331,0558	2860	240,24	90,8158
29239,788	6823	33X	514547,4423	8560104,895	331,2071	2885	242,34	88,8671
29245,613	6824	33X	514542,2753	8560102,214	331,3902	2905	244,02	87,3702
29251,034	6825	33X	514537,4346	8560099,78	331,5735	2930	246,12	85,4535
29255,923	6826	33X	514533,0354	8560097,653	331,7323	2950	247,8	83,9323
29260,442	6827	33X	514528,926	8560095,779	331,8685	2960	248,64	83,2285
29264,828	6828	33X	514524,8878	8560094,071	331,9905	2970	249,48	82,5105
29269,32	6829	33X	514520,7022	8560092,445	332,1069	2980	250,32	81,7869
29274,155	6830	33X	514516,1507	8560090,816	332,226	2990	251,16	81,066
29279,502	6831	33X	514511,0793	8560089,127	332,3548	3000	252	80,3548
29285,247	6832	33X	514505,5924	8560087,43	331,7432	3010	252,84	78,9032
29291,209	6833	33X	514499,8586	8560085,802	331,8894	3010	252,84	79,0494
29297,208	6834	33X	514494,0469	8560084,324	332,0419	3005	252,42	79,6219
29303,101	6835	33X	514488,2944	8560083,056	332,1985	3000	252	80,1985
29308,885	6836	33X	514482,612	8560081,987	332,3553	3000	252	80,3553
29314,591	6837	33X	514476,9786	8560081,088	332,5084	2995	251,58	80,9284
29320,249	6838	33X	514471,3735	8560080,331	332,6534	3000	252	80,6534
29325,886	6839	33X	514465,7754	8560079,692	332,7875	3005	252,42	80,3675
29331,525	6840	33X	514460,1615	8560079,175	332,9126	3010	252,84	80,0726
29337,192	6841	33X	514454,5087	8560078,79	333,0319	3015	253,26	79,7719
29342,913	6842	33X	514448,7938	8560078,547	333,1487	3020	253,68	79,4687
29348,683	6843	33X	514443,0254	8560078,451	333,2654	3025	254,1	79,1654
29354,371	6844	33X	514437,3392	8560078,481	333,3811	3035	254,94	78,4411
29359,81	6845	33X	514431,9024	8560078,614	333,4944	3040	255,36	78,1344
29364,836	6846	33X	514426,8825	8560078,825	333,6037	3045	255,78	77,8237
29369,344	6847	33X	514422,3839	8560079,097	333,7072	3050	256,2	77,5072
29373,485	6848	33X	514418,2593	8560079,449	333,8019	3065	257,46	76,3419
29377,472	6849	33X	514414,2987	8560079,907	333,8846	3080	258,72	75,1646
29381,523	6850	33X	514410,292	8560080,497	333,952	3095	259,98	73,972
29385,852	6851	33X	514406,0289	8560081,246	334,0008	3110	261,24	72,7608
29390,608	6852	33X	514401,3638	8560082,173	334,0277	3130	262,92	71,1077
29395,683	6853	33X	514396,4084	8560083,267	334,0286	3145	264,18	69,8486
29400,902	6854	33X	514391,3388	8560084,509	333,999	3160	265,44	68,559
29406,095	6855	33X	514386,3313	8560085,881	334,6847	3175	266,7	67,9847
29411,135	6856	33X	514381,5182	8560087,372	334,5835	3190	267,96	66,6235
29416,077	6857	33X	514376,8567	8560089,01	334,4523	3205	269,22	65,2323
29421,023	6858	33X	514372,2602	8560090,83	334,3002	3225	270,9	63,4002
29426,073	6859	33X	514367,6422	8560092,867	333,3863	3230	271,32	62,0663
29431,283	6860	33X	514362,9546	8560095,134	333,2184	3235	271,74	61,4784
29436,526	6861	33X	514358,3038	8560097,549	333,0497	3240	272,16	60,8897
29441,63	6862	33X	514353,8343	8560100,007	332,8824	3245	272,58	60,3024
29446,419	6863	33X	514349,6911	8560102,403	332,7186	3255	273,42	59,2986
29450,782	6864	33X	514345,9656	8560104,669	332,5583	3260	273,84	58,7183
29454,867	6865	33X	514342,5359	8560106,883	332,3935	3265	274,26	58,1335
29458,889	6866	33X	514339,2269	8560109,162	332,2145	3270	274,68	57,5345
29463,061	6867	33X	514335,8635	8560111,621	332,0113	3280	275,52	56,4913
29467,595	6868	33X	514332,2704	8560114,377	331,7739	3290	276,36	55,4139
29472,64	6869	33X	514328,3257	8560117,509	331,4967	3305	277,62	53,8767
29478,083	6870	33X	514324,1198	8560120,95	331,1905	3315	278,46	52,7305
