Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
25554,878	6124	33X	512595,8868	8560307,036	406,0545	1590	133,56	272,4945
25559,441	6125	33X	512599,7097	8560304,548	405,9596	1585	133,14	272,8196
25563,995	6126	33X	512603,6596	8560302,282	405,8656	1585	133,14	272,7256
25568,607	6127	33X	512607,7717	8560300,196	405,7773	1585	133,14	272,6373
25573,304	6128	33X	512612,0493	8560298,257	405,6991	1585	133,14	272,5591
25577,973	6129	33X	512616,3673	8560296,484	405,6357	1580	132,72	272,9157
25582,461	6130	33X	512620,5686	8560294,904	405,5918	1570	131,88	273,7118
25586,616	6131	33X	512624,4962	8560293,549	405,5722	1555	130,62	274,9522
25590,338	6132	33X	512628,0465	8560292,432	405,5811	1545	129,78	275,8011
25593,748	6133	33X	512631,3301	8560291,513	405,6206	1530	128,52	277,1006
25597,024	6134	33X	512634,5115	8560290,736	406,4426	1520	127,68	278,7626
25600,342	6135	33X	512637,755	8560290,045	406,5487	1505	126,42	280,1287
25603,876	6136	33X	512641,2247	8560289,386	406,6907	1495	125,58	281,1107
25607,747	6137	33X	512645,0335	8560288,717	406,8675	1485	124,74	282,1275
25611,861	6138	33X	512649,0877	8560288,049	407,0665	1470	123,48	283,5865
25616,07	6139	33X	512653,2421	8560287,406	407,2724	1460	122,64	284,6324
25620,226	6140	33X	512657,3515	8560286,815	407,4698	1455	122,22	285,2498
25624,222	6141	33X	512661,308	8560286,289	407,6477	1450	121,8	285,8477
25628,1	6142	33X	512665,1525	8560285,804	407,8127	1440	120,96	286,8527
25631,944	6143	33X	512668,9633	8560285,324	408,7259	1435	120,54	288,1859
25635,837	6144	33X	512672,8185	8560284,814	408,8984	1430	120,12	288,7784
25639,826	6145	33X	512676,7626	8560284,249	409,0872	1420	119,28	289,8072
25643,819	6146	33X	512680,7049	8560283,642	409,2837	1415	118,86	290,4237
25647,691	6147	33X	512684,5207	8560283,019	409,4751	1410	118,44	291,0351
25651,312	6148	33X	512688,0857	8560282,404	409,6488	1405	118,02	291,6288
25654,607	6149	33X	512691,3232	8560281,813	409,7945	1400	117,6	292,1945
25657,691	6150	33X	512694,3487	8560281,227	409,9113	1395	117,18	292,7313
25660,73	6151	33X	512697,3254	8560280,619	410,0008	1390	116,76	293,2408
25663,891	6152	33X	512700,4167	8560279,963	410,0645	1385	116,34	293,7245
25667,339	6153	33X	512703,786	8560279,232	410,1038	1380	115,92	294,1838
25671,192	6154	33X	512707,5498	8560278,408	409,3698	1375	115,5	293,8698
25675,376	6155	33X	512711,6371	8560277,513	410,111	1370	115,08	295,031
25679,77	6156	33X	512715,9302	8560276,578	409,3254	1365	114,66	294,6654
25684,251	6157	33X	512720,3114	8560275,637	409,261	1360	114,24	295,021
25688,723	6158	33X	512724,6861	8560274,714	408,4174	1355	113,82	294,5974
25693,182	6159	33X	512729,0529	8560273,819	408,3003	1350	113,4	294,9003
25697,65	6160	33X	512733,4336	8560272,954	408,167	1340	112,56	295,607
25702,146	6161	33X	512737,8498	8560272,122	407,2746	1335	112,14	295,1346
25706,692	6162	33X	512742,3236	8560271,327	407,1271	1330	111,72	295,4071
25711,311	6163	33X	512746,8778	8560270,572	407,715	1325	111,3	296,415
25716,026	6164	33X	512751,5352	8560269,861	406,7756	1320	110,88	295,8956
25720,861	6165	33X	512756,3189	8560269,199	406,5459	1315	110,46	296,0859
25725,81	6166	33X	512761,2222	8560268,59	406,2688	1310	110,04	296,2288
25730,748	6167	33X	512766,12	8560268,042	405,9595	1305	109,62	296,3395
25735,52	6168	33X	512770,8574	8560267,563	405,6386	1295	108,78	296,8586
25739,972	6169	33X	512775,2798	8560267,163	405,3268	1280	107,52	297,8068
25744,004	6170	33X	512779,2897	8560266,845	404,2896	1270	106,68	297,6096
25747,751	6171	33X	512783,0188	8560266,6	404,0214	1255	105,42	298,6014
25751,403	6172	33X	512786,6562	8560266,417	403,7612	1245	104,58	299,1812
25755,149	6173	33X	512790,3909	8560266,282	403,498	1230	103,32	300,178
25759,181	6174	33X	512794,4121	8560266,182	403,2211	1220	102,48	300,7411
25763,629	6175	33X	512798,8496	8560266,108	402,9218	1200	100,8	302,1218
25768,387	6176	33X	512803,5968	8560266,063	402,6023	1180	99,12	303,4823
25773,29	6177	33X	512808,4879	8560266,051	402,267	1165	97,86	304,407
25778,172	6178	33X	512813,3572	8560266,078	401,9202	1145	96,18	305,7402
25782,909	6179	33X	512818,0811	8560266,147	401,5639	1125	94,5	307,0639
25787,55	6180	33X	512822,7052	8560266,246	401,1894	1110	93,24	307,9494
25792,181	6181	33X	512827,3173	8560266,361	400,7856	1085	91,14	309,6456
25796,891	6182	33X	512832,0053	8560266,478	400,3412	1060	89,04	311,3012
25801,729	6183	33X	512836,8165	8560266,583	399,8517	1035	86,94	312,9117
25806,577	6184	33X	512841,6365	8560266,67	399,3391	1010	84,84	314,4991
25811,278	6185	33X	512846,3105	8560266,733	398,832	985	82,74	316,092
25815,677	6186	33X	512850,6834	8560266,765	398,359	960	80,64	317,719
25819,675	6187	33X	512854,6598	8560266,761	397,939	940	78,96	318,979
25823,417	6188	33X	512858,3811	8560266,713	397,5518	915	76,86	320,6918
25827,106	6189	33X	512862,0483	8560266,613	396,4174	890	74,76	321,6574
25830,945	6190	33X	512865,8623	8560266,454	396,0057	865	72,66	323,3457
25835,139	6191	33X	512870,0238	8560266,228	395,5368	855	71,82	323,7168
25839,83	6192	33X	512874,6723	8560265,929	394,9873	845	70,98	324,0073
25844,911	6193	33X	512879,7015	8560265,563	394,3602	830	69,72	324,6402
25850,216	6194	33X	512884,9434	8560265,138	393,6655	820	68,88	324,7855
25855,577	6195	33X	512890,2303	8560264,662	392,9128	810	68,04	324,8728
25860,87	6196	33X	512895,4368	8560264,142	392,1125	800	67,2	324,9125
25866,139	6197	33X	512900,608	8560263,577	391,2767	790	66,36	324,9167
25871,468	6198	33X	512905,8313	8560262,964	390,4182	785	65,94	324,4782
25876,941	6199	33X	512911,1942	8560262,301	389,5497	780	65,52	324,0297
25882,596	6200	33X	512916,7374	8560261,592	388,6857	775	65,1	323,5857
25888,282	6201	33X	512922,3146	8560260,862	388,598	770	64,68	323,918
25893,805	6202	33X	512927,7326	8560260,142	387,8102	770	64,68	323,1302
25898,965	6203	33X	512932,7982	8560259,463	387,0958	765	64,26	322,8358
25903,637	6204	33X	512937,3868	8560258,848	386,4678	760	63,84	322,6278
25907,974	6205	33X	512941,6486	8560258,282	385,8972	760	63,84	322,0572
25912,199	6206	33X	512945,802	8560257,743	385,344	765	64,26	321,084
25916,534	6207	33X	512950,0658	8560257,207	384,7687	765	64,26	320,5087
25921,204	6208	33X	512954,6586	8560256,652	384,1313	765	64,26	319,8713
25926,365	6209	33X	512959,734	8560256,063	383,4037	765	64,26	319,1437
25931,909	6210	33X	512965,1852	8560255,453	382,6035	765	64,26	318,3435
25937,658	6211	33X	512970,8404	8560254,846	381,7597	765	64,26	317,4997
25943,44	6212	33X	512976,5278	8560254,264	380,9014	765	64,26	316,6414
25949,112	6213	33X	512982,1107	8560253,723	380,0542	765	64,26	315,7942
25954,679	6214	33X	512987,593	8560253,215	378,4796	775	65,1	313,3796
25960,18	6215	33X	512993,0138	8560252,725	377,6857	780	65,52	312,1657
25965,653	6216	33X	512998,4121	8560252,238	376,9305	785	65,94	310,9905
25971,137	6217	33X	513003,827	8560251,739	375,47	790	66,36	309,11
25976,673	6218	33X	513009,2978	8560251,21	374,0517	800	67,2	306,8517
25982,304	6219	33X	513014,8634	8560250,635	373,4213	815	68,46	304,9613
25988,071	6220	33X	513020,5632	8560249,996	373,5743	835	70,14	303,4343
25993,977	6221	33X	513026,3992	8560249,284	372,2581	855	71,82	300,4381
25999,876	6222	33X	513032,2254	8560248,524	371,7267	870	73,08	298,6467
26005,584	6223	33X	513037,8586	8560247,751	371,2362	890	74,76	296,4762
26010,913	6224	33X	513043,1157	8560246,997	370,0423	910	76,44	293,6023
26015,749	6225	33X	513047,8825	8560246,285	369,6468	930	78,12	291,5268
26020,256	6226	33X	513052,3207	8560245,589	368,5351	945	79,38	289,1551
26024,669	6227	33X	513056,6605	8560244,868	368,1882	965	81,06	287,1282
26029,223	6228	33X	513061,1325	8560244,084	368,5873	980	82,32	286,2673
26034,152	6229	33X	513065,9671	8560243,199	368,2135	995	83,58	284,6335
26039,619	6230	33X	513071,3236	8560242,185	367,0526	1010	84,84	282,2126
26045,497	6231	33X	513077,0767	8560241,066	366,6082	1030	86,52	280,0882
26051,585	6232	33X	513083,0296	8560239,877	366,1386	1045	87,78	278,3586
26057,685	6233	33X	513088,9857	8560238,653	365,652	1060	89,04	276,612
26063,647	6234	33X	513094,7976	8560237,421	365,1556	1080	90,72	274,4356
26069,519	6235	33X	513100,5146	8560236,177	364,6524	1095	91,98	272,6724
26075,4	6236	33X	513106,2349	8560234,909	362,6442	1110	93,24	269,4042
26081,389	6237	33X	513112,0569	8560233,605	362,1332	1130	94,92	267,2132
26087,532	6238	33X	513118,0296	8560232,262	361,6227	1140	95,76	265,8627
26093,676	6239	33X	513124,0045	8560230,918	361,8732	1155	97,02	264,8532
26099,619	6240	33X	513129,7836	8560229,618	360,6466	1170	98,28	262,3666
26105,155	6241	33X	513135,1689	8560228,411	360,2048	1185	99,54	260,6648
26110,156	6242	33X	513140,0347	8560227,327	360,5552	1200	100,8	259,7552
26114,788	6243	33X	513144,5436	8560226,335	360,1862	1215	102,06	258,1262
26119,29	6244	33X	513148,9305	8560225,387	360,5817	1230	103,32	257,2617
26123,903	6245	33X	513153,4303	8560224,436	359,4756	1245	104,58	254,8956
26128,867	6246	33X	513158,2776	8560223,433	359,1015	1260	105,84	253,2615
26134,351	6247	33X	513163,6381	8560222,347	358,6974	1275	107,1	251,5974
26140,242	6248	33X	513169,4	8560221,2	359,0167	1290	108,36	250,6567
26146,354	6249	33X	513175,3824	8560220,031	359,3168	1305	109,62	249,6968
26152,503	6250	33X	513181,4043	8560218,878	358,8553	1320	110,88	247,9753
26158,54	6251	33X	513187,3202	8560217,772	358,3867	1335	112,14	246,2467
26164,463	6252	33X	513193,127	8560216,707	357,9038	1355	113,82	244,0838
26170,308	6253	33X	513198,8574	8560215,673	357,3969	1370	115,08	242,3169
26176,11	6254	33X	513204,5437	8560214,656	356,856	1385	116,34	240,516
26181,904	6255	33X	513210,2191	8560213,642	357,0225	1400	117,6	239,4225
26187,73	6256	33X	513215,9192	8560212,616	356,3928	1420	119,28	237,1128
26193,626	6257	33X	513221,68	8560211,56	354,9648	1435	120,54	234,4248
26199,631	6258	33X	513227,5377	8560210,458	354,9863	1450	121,8	233,1863
26205,747	6259	33X	513233,493	8560209,302	354,2106	1465	123,06	231,1506
26211,827	6260	33X	513239,4044	8560208,121	353,4138	1500	126	227,4138
26217,689	6261	33X	513245,0953	8560206,955	352,6277	1530	128,52	224,1077
26223,149	6262	33X	513250,3887	8560205,843	352,6339	1565	131,46	221,1739
26228,094	6263	33X	513255,1757	8560204,809	351,9522	1595	133,98	217,9722
26232,692	6264	33X	513259,6186	8560203,815	351,3054	1625	136,5	214,8054
26237,184	6265	33X	513263,9476	8560202,809	351,4043	1660	139,44	211,9643
26241,809	6266	33X	513268,3929	8560201,738	349,9598	1690	141,96	207,9998
26246,807	6267	33X	513273,1845	8560200,548	349,1826	1720	144,48	204,7026
26252,343	6268	33X	513278,4821	8560199,204	348,2979	1755	147,42	200,8779
26258,289	6269	33X	513284,1626	8560197,735	347,3372	1785	149,94	197,3972
26264,44	6270	33X	513290,0326	8560196,189	346,3463	1820	152,88	193,4663
26270,592	6271	33X	513295,8984	8560194,611	345,3711	1850	155,4	189,9711
26276,591	6272	33X	513301,6144	8560193,039	344,4485	1880	157,92	186,5285
26282,483	6273	33X	513307,2264	8560191,469	344,33	1915	160,86	183,47
26288,362	6274	33X	513312,8281	8560189,886	342,7583	1945	163,38	179,3783
26294,322	6275	33X	513318,5135	8560188,278	342,7262	1975	165,9	176,8262
26300,409	6276	33X	513324,3286	8560186,642	341,9793	2010	168,84	173,1393
26306,473	6277	33X	513330,1294	8560185,019	341,2752	2040	171,36	169,9152
26312,316	6278	33X	513335,7243	8560183,464	340,6246	2075	174,3	166,3246
26317,74	6279	33X	513340,9215	8560182,03	340,038	2105	176,82	163,218
26322,617	6280	33X	513345,5998	8560180,752	339,5205	2135	179,34	160,1805
26327,113	6281	33X	513349,9189	8560179,592	339,0553	2170	182,28	156,7753
26331,467	6282	33X	513354,1088	8560178,49	338,62	2180	183,12	155,5
