Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
3033,6128	2398	33X	516009,8833	8548464,304	40,14337	1185	99,54	-59,39663
3039,6049	2399	33X	516011,4779	8548470,079	40,2247	1190	99,96	-59,7353
3045,69	2400	33X	516013,1437	8548475,931	39,55165	1200	100,8	-61,24835
3051,9156	2401	33X	516014,9023	8548481,903	39,62499	1205	101,22	-61,59501
3058,1287	2402	33X	516016,7041	8548487,849	39,69542	1210	101,64	-61,94458
3064,1255	2403	33X	516018,4819	8548493,575	39,76361	1220	102,48	-62,71639
3069,7024	2404	33X	516020,1682	8548498,891	39,83024	1225	102,9	-63,06976
3074,7302	2405	33X	516021,7188	8548503,673	39,89607	1230	103,32	-63,42393
3079,3783	2406	33X	516023,1817	8548508,085	39,96223	1240	104,16	-64,19777
3083,8905	2407	33X	516024,628	8548512,358	39,27995	1245	104,58	-65,30005
3088,5106	2408	33X	516026,1286	8548516,727	39,35043	1255	105,42	-66,06957
3093,4822	2409	33X	516027,7547	8548521,425	39,42491	1260	105,84	-66,41509
3098,9747	2410	33X	516029,5524	8548526,614	39,50505	1265	106,26	-66,75495
3104,8594	2411	33X	516031,4687	8548532,177	40,34433	1275	107,1	-66,75567
3110,9335	2412	33X	516033,4257	8548537,927	38,94669	1280	107,52	-68,57331
3116,9943	2413	33X	516035,3454	8548543,674	39,06606	1290	108,36	-69,29394
3122,8909	2414	33X	516037,1665	8548549,281	38,45473	1295	108,78	-70,32527
3128,6773	2415	33X	516038,8939	8548554,801	38,6085	1305	109,62	-71,0115
3134,4596	2416	33X	516040,5491	8548560,339	38,7715	1320	110,88	-72,1085
3140,3438	2417	33X	516042,1534	8548565,998	38,18791	1330	111,72	-73,53209
3146,3857	2418	33X	516043,7187	8548571,831	38,35211	1345	112,98	-74,62789
3152,4372	2419	33X	516045,218	8548577,692	37,75949	1355	113,82	-76,06051
3158,2992	2420	33X	516046,6149	8548583,383	37,90567	1370	115,08	-77,17433
3163,7719	2421	33X	516047,8728	8548588,708	38,03628	1380	115,92	-77,88372
3168,7301	2422	33X	516048,9696	8548593,542	38,89877	1390	116,76	-77,86123
3173,346	2423	33X	516049,9413	8548598,053	38,99793	1395	117,18	-78,18207
3177,8665	2424	33X	516050,8383	8548602,483	39,84039	1400	117,6	-77,75961
3182,5387	2425	33X	516051,7112	8548607,072	39,93276	1400	117,6	-77,66724
3187,6092	2426	33X	516052,6103	8548612,061	40,78168	1405	118,02	-77,23832
3193,2495	2427	33X	516053,5722	8548617,618	40,89232	1405	118,02	-77,12768
3199,33	2428	33X	516054,5773	8548623,613	41,76415	1410	118,44	-76,67585
3205,6458	2429	33X	516055,5924	8548629,846	42,64521	1415	118,86	-76,21479
3211,9922	2430	33X	516056,584	8548636,113	42,78351	1415	118,86	-76,07649
3218,2152	2431	33X	516057,5305	8548642,262	43,67798	1420	119,28	-75,60202
3224,364	2432	33X	516058,4573	8548648,338	44,58106	1420	119,28	-74,69894
3230,5386	2433	33X	516059,4018	8548654,438	44,74609	1425	119,7	-74,95391
3236,8391	2434	33X	516060,4012	8548660,656	45,67638	1425	119,7	-74,02362
3243,3129	2435	33X	516061,4794	8548667,036	46,62299	1430	120,12	-73,49701
3249,7953	2436	33X	516062,6068	8548673,417	46,82785	1435	120,54	-73,71215
3256,0683	2437	33X	516063,7403	8548679,583	47,78062	1435	120,54	-72,75938
3261,9138	2438	33X	516064,8367	8548685,322	48,72095	1440	120,96	-72,23905
3267,193	2439	33X	516065,8689	8548690,496	49,64173	1440	120,96	-71,31827
3272,0839	2440	33X	516066,8732	8548695,28	49,79879	1445	121,38	-71,58121
3276,8438	2441	33X	516067,9015	8548699,925	50,70121	1445	121,38	-70,67879
