148,512789.84,8555443.57,137,1,4
149,512721.31,8555887.26,138,1,4
150,512860.08,8556107.18,139,1,4
151,512753.76,8556234.36,140,1,4
152,512637.01,8557002.68,141,1,4
153,512800.79,8557151.87,142,1,4
154,512900.82,8556968.66,143,1,4
155,513280.81,8556949.94,144,1,4
156,513490.37,8556791.42,145,1,4
157,513592.54,8556631.81,146,1,4
158,513932.82,8555975.99,147,1,4
159,514073.14,8555990.56,148,1,4
160,513535.67,8556794.05,149,1,4
161,513122.21,8557456.07,150,1,4
162,512783.82,8557688.82,151,1,4
163,512778.82,8557813.94,152,1,4
164,512538.83,8557767.58,153,1,4
165,512462.83,8557948.29,154,1,4
166,512244.49,8558002.45,155,1,4
167,511987.84,8557940.89,156,1,4
168,511902.82,8558055.99,157,1,4
169,512057.83,8558057.27,158,1,4
170,512221.83,8558311.52,159,1,4
171,511883.80,8558546.35,160,1,4
172,511774.95,8558571.20,161,1,4
173,511695.84,8559030.93,162,1,4
174,510933.84,8559873.05,163,1,4
175,510736.84,8560386.89,164,1,4
176,510796.84,8560623.01,165,1,4
177,510470.84,8560996.96,166,1,4
178,510383.06,8561711.96,167,2,3
179,510720.80,8561917.64,168,2,3
180,510949.05,8562279.20,169,2,3
181,511624.22,8562660.45,170,2,3
182,512168.38,8562625.36,171,1,2
183,512416.08,8562229.42,172,1,2
184,512509.70,8562036.57,173,1,2
185,512727.22,8562061.57,174,1,2
186,512601.91,8562275.54,175,1,2
187,512520.82,8562647.16,176,1,2
188,512250.11,8562928.62,177,1,2
189,512313.87,8563184.61,178,1,2
190,512426.34,8563200.00,179,1,2
191,512389.92,8563705.57,180,1,2
192,512657.82,8563981.74,181,1,2
