515005.660	8548815.070	51.977	1
515158.057	8550260.322	139.658	2
516609.103	8550227.221	120.459	3
515898.467	8551997.043	181.250	4
515701.684	8554089.745	249.847	5
515714.942	8556337.476	288.171	6
514497.785	8558413.814	345.759	7
513418.464	8558057.341	362.479	8
512172.777	8559795.188	420.497	9
511291.699	8560841.977	452.010	10
511017.436	8562351.549	498.161	11
513206.649	8552899.219	333.858	t
513516.089	8549363.513	328.991	t
514278.737	8559859.578	350.033	t
513575.999	8555493.386	343.586	t
512811.920	8550930.292	329.490	t
