515005.7874711428, 8548814.89810728,  ,515158.1918291844, 8550260.124662496,  ,516607.0944972112, 8550221.271902796,  ,515897.74481690215, 8551993.211466027,  ,515702.52355000813, 8554087.418869138,  ,515716.92868049484, 8556336.528634382,  ,514497.92573387723, 8558412.394961601,  ,513419.015638015, 8558056.406697854,  ,512171.94272828463, 8559794.595952952,  ,511291.2680457856, 8560842.151652412,  ,511017.0271611667, 8562351.972995058,  ,513206.7108104026, 8552899.21415499,  ,513516.5165329563, 8549364.044356352,  ,514279.06466736156, 8559859.990750652,  ,513576.5079729557, 8555493.522658445,  ,512812.712785588, 8550930.437351337, 
515005.90185062785, 8548814.743895303,  ,515158.39495430177, 8550259.827441726,  ,516604.5665451616, 8550213.94578797,  ,515896.86382500554, 8551988.23687486,  ,515703.528878479, 8554084.615692606,  ,515718.9560604511, 8556335.5760954,  ,514498.0740460572, 8558410.924421735,  ,513419.60645864037, 8558055.408433868,  ,512171.1001623987, 8559793.99658768,  ,511290.80985184695, 8560842.33629887,  ,511016.636323727, 8562352.371253887,  ,513206.77062640607, 8552899.209459703,  ,513516.92966055387, 8549364.559065579,  ,514279.3837236026, 8559860.388623891,  ,513577.0005133369, 8555493.654961025,  ,512813.4801276106, 8550930.577302115, 
515006.42316388927, 8548814.04114536,  ,515159.1924490115, 8550258.661006479,  ,516602.0405502118, 8550206.475289626,  ,515896.0449122024, 8551983.302365176,  ,515704.6740381482, 8554081.4026675,  ,515721.2286050722, 8556334.522261474,  ,514498.28334620624, 8558408.88513425,  ,513420.4102757662, 8558054.053995598,  ,512169.57352372824, 8559792.908010917,  ,511289.7794867325, 8560842.749152029,  ,511016.55514198594, 8562352.45270648,  ,513206.8304419134, 8552899.204758098,  ,513517.34221197636, 8549365.074236738,  ,514279.70454607985, 8559860.785074314,  ,513577.4930398723, 8555493.787315141,  ,512814.24757766275, 8550930.716659272, 
515006.62344056106, 8548813.771357935,  ,515159.54683382565, 8550258.143763399,  ,516600.5754489573, 8550202.137004329,  ,515895.6426504739, 8551980.77112941,  ,515705.3346071295, 8554079.539289488,  ,515723.39766297396, 8556333.528187122,  ,514498.4809818187, 8558407.005495943,  ,513421.1012739685, 8558052.894244986,  ,512168.01252588717, 8559791.790117478,  ,511288.7474523715, 8560843.157814577,  ,511016.5127216843, 8562352.495138992,  ,513206.89025692677, 8552899.200050214,  ,513517.7542071906, 8549365.58985282,  ,514280.0270140495, 8559861.180187473,  ,513577.9855524449, 8555493.919721207,  ,512815.7708534639, 8550930.99222203, 
515006.90503956925, 8548813.392128257,  ,515159.7583885591, 8550257.83534713,  ,516599.6119475071, 8550199.312837025,  ,515895.36537501717, 8551979.000710726,  ,515705.7760663209, 8554078.29105482,  ,515724.78321401234, 8556332.898320215,  ,514498.6218510585, 8558405.695045693,  ,513421.7150525968, 8558051.867750078,  ,512166.9540059116, 8559791.028572036,  ,511288.0212261355, 8560843.442411581,  ,511016.4702681077, 8562352.537538212,  ,513207.01586742245, 8552899.19015055,  ,513518.0422299551, 8549365.951082507,  ,514280.25317808974, 8559861.45511624,  ,513578.3080907327, 8555494.00646827,  ,512816.72553679097, 8550931.163918694, 
515007.1867096412, 8548813.012951357,  ,515159.92534297076, 8550257.592136884,  ,516598.7467454334, 8550196.263193542,  ,515895.07034679805, 8551977.102501214,  ,515706.2972777034, 8554076.815397782,  ,515726.10948994564, 8556332.297547255,  ,514498.7422938993, 8558404.59159949,  ,513422.3014894377, 8558050.890155157,  ,512166.0783263768, 8559790.396444397,  ,511287.4062022106, 8560843.681880936,  ,511016.42778154224, 8562352.579904374,  ,513207.1654011642, 8552899.178332763,  ,513518.28515350836, 8549366.25618601,  ,514280.4443562561, 8559861.686310766,  ,513578.56882044225, 8555494.076611115,  ,512817.40469898575, 8550931.285732951, 
515007.4684514698, 8548812.633827774,  ,515160.1189805697, 8550257.31023534,  ,516597.6703668107, 8550192.462679226,  ,515894.6830784752, 8551974.595233329,  ,515706.9210188358, 8554075.047186257,  ,515727.6990896738, 8556331.584990798,  ,514498.87173482456, 8558403.420732697,  ,513422.81915848557, 8558050.029902428,  ,512165.079628649, 8559789.673331786,  ,511286.79078273644, 8560843.920331918,  ,511016.385262272, 8562352.622237714,  ,513207.30596004514, 8552899.167188212,  ,513518.5335052541, 8549366.568471793,  ,514280.6513410543, 8559861.935576273,  ,513578.90776401106, 8555494.167815594,  ,512818.1340954405, 8550931.416353822, 
515007.75026590686, 8548812.254758159,  ,515160.37616730214, 8550256.936108377,  ,516596.4055812032, 8550187.954748286,  ,515894.3263181884, 8551971.723307477,  ,515707.67467989866, 8554072.90806985,  ,515729.43114458566, 8556330.808853064,  ,514499.0247210697, 8558402.055276288,  ,513423.30585281766, 8558049.223371197,  ,512163.973032242, 8559788.869050497,  ,511286.1526194012, 8560844.166509816,  ,511016.34271057893, 8562352.664538464,  ,513207.4255823827, 8552899.157675255,  ,513518.7947427979, 8549366.897340985,  ,514280.9549257277, 8559862.299598726,  ,513579.42920563195, 8555494.308167424,  ,512818.9373517409, 8550931.560003798, 
515008.0321539672, 8548811.875743289,  ,515160.68229998817, 8550256.491268205,  ,516594.86610027804, 8550182.342048537,  ,515893.850488688, 8551967.868564647,  ,515708.46774287545, 8554070.471905835,  ,515731.55556036107, 8556329.85678079,  ,514499.2451655556, 8558400.11777681,  ,513423.8957832478, 8558048.283114802,  ,512162.8101092502, 8559788.019809593,  ,511285.4245106386, 8560844.446255468,  ,511016.30012674327, 8562352.706806855,  ,513207.5452028332, 8552899.148138598,  ,513519.0557921045, 8549367.226359615,  ,514281.24415272905, 8559862.644341733,  ,513579.9506320908, 8555494.448575571,  ,512819.88239477633, 8550931.728804454, 
515008.3141168321, 8548811.496784065,  ,515160.9348158073, 8550256.1248521,  ,516593.31888485135, 8550176.454970023,  ,515893.38910021505, 8551964.047318557,  ,515709.286733939, 8554067.947431704,  ,515733.61672668497, 8556328.932294779,  ,514499.43705618, 8558398.466891596,  ,513424.5126739968, 8558047.3031098,  ,512161.5914888237, 8559787.124763083,  ,511284.62878970965, 8560844.750775095,  ,511016.2575110431, 8562352.74904312,  ,513207.7146624923, 8552899.13459519,  ,513519.2856046902, 8549367.516335778,  ,514281.6890120188, 8559863.171788614,  ,513580.4720438099, 8555494.589038447,  ,512820.82747039426, 8550931.897422591, 
