510425.0  8549025.0  [(510760.0, 8549760.0), (510680.0, 8549800.0), (510800.0, 8549760.0)]  [807.7437712542264, 815.8737647455027, 825.136352368504] [16.4067287, 5.53902817, 7.22371483]  0.0 False
510425.0  8549075.0  [(510760.0, 8549760.0), (510680.0, 8549800.0), (510560.0, 8549840.0)]  [762.5286879849177, 768.5375722760729, 776.8204425734431] [16.4067287, 5.53902817, 1.33468604]  0.0 False
510425.0  8549125.0  [(510760.0, 8549760.0), (510680.0, 8549800.0), (510560.0, 8549840.0)]  [717.948466117172, 721.5608082483416, 727.6331493273242] [16.4067287, 5.53902817, 1.33468604]  0.0 False
510425.0  8549175.0  [(510760.0, 8549760.0), (510680.0, 8549800.0), (510560.0, 8549840.0)]  [674.1290677607664, 675.0185182644992, 678.5646616203942] [16.4067287, 5.53902817, 1.33468604]  0.0 False
510425.0  8549225.0  [(510680.0, 8549800.0), (510560.0, 8549840.0), (510760.0, 8549760.0)]  [629.0071541723512, 629.6427558544607, 631.2289600454022] [5.53902817, 1.33468604, 16.4067287]  0.0 False
510425.0  8549275.0  [(510560.0, 8549840.0), (510680.0, 8549800.0), (510760.0, 8549760.0)]  [580.9044671888829, 583.6522937503116, 589.4488951554664] [1.33468604, 5.53902817, 16.4067287]  0.0 False
510425.0  8549325.0  [(510560.0, 8549840.0), (510680.0, 8549800.0), (510600.0, 8549840.0)]  [532.4002253943926, 539.1196527673611, 543.9209501388966] [1.33468604, 5.53902817, 1.34062159]  0.0 False
510425.0  8549375.0  [(510560.0, 8549840.0), (510680.0, 8549800.0), (510600.0, 8549840.0)]  [484.2003717470692, 495.63091106185055, 496.8400144915866] [1.33468604, 5.53902817, 1.34062159]  0.0 False
510425.0  8549425.0  [(510560.0, 8549840.0), (510600.0, 8549840.0), (510680.0, 8549800.0)]  [436.4057744805859, 450.3887209955418, 453.48649373492924] [1.33468604, 1.34062159, 5.53902817]  0.0 False
510425.0  8549475.0  [(510560.0, 8549840.0), (510600.0, 8549840.0), (510480.0, 8549880.0)]  [389.16577444580093, 404.7838929601819, 408.71750635371615] [1.33468604, 1.34062159, 4.39919519]  0.0 False
510425.0  8549525.0  [(510560.0, 8549840.0), (510480.0, 8549880.0), (510600.0, 8549840.0)]  [342.70978976387585, 359.23529893372114, 360.347054934545] [1.33468604, 4.39919519, 1.34062159]  0.0 False
510425.0  8549575.0  [(510560.0, 8549840.0), (510480.0, 8549880.0), (510600.0, 8549840.0)]  [297.40544715926103, 309.9193443462347, 317.56889016400834] [1.33468604, 4.39919519, 1.34062159]  0.0 False
510425.0  8549625.0  [(510560.0, 8549840.0), (510480.0, 8549880.0), (510520.0, 8549880.0)]  [253.87004549572208, 260.86394921491166, 272.12129648375554] [1.33468604, 4.39919519, 1.62425184]  0.0 False
510425.0  8549675.0  [(510480.0, 8549880.0), (510560.0, 8549840.0), (510520.0, 8549880.0)]  [212.24985276791125, 213.19005605327843, 225.94247055390008] [4.39919519, 1.33468604, 1.62425184]  0.0 False
510425.0  8549725.0  [(510480.0, 8549880.0), (510560.0, 8549840.0), (510520.0, 8549880.0)]  [164.46884203398528, 177.341478509682, 181.79658962697843] [4.39919519, 1.33468604, 1.62425184]  0.0 False
510425.0  8549775.0  [(510480.0, 8549880.0), (510520.0, 8549880.0), (510440.0, 8549920.0)]  [118.53269591129698, 141.59802258506295, 145.7737973711325] [4.39919519, 1.62425184, 5.10973358]  0.0 False
510425.0  8549825.0  [(510480.0, 8549880.0), (510440.0, 8549920.0), (510480.0, 8549920.0)]  [77.78174593052023, 96.17692030835673, 109.77249200050075] [4.39919519, 5.10973358, 4.62360477]  0.0 False
510425.0  8549875.0  [(510440.0, 8549920.0), (510480.0, 8549880.0), (510480.0, 8549920.0)]  [47.43416490252569, 55.226805085936306, 71.06335201775947] [5.10973358, 4.39919519, 4.62360477]  0.0 False
510425.0  8549925.0  [(510440.0, 8549920.0), (510440.0, 8549960.0), (510480.0, 8549920.0)]  [15.811388300841896, 38.07886552931954, 55.226805085936306] [5.10973358, 7.31729746, 4.62360477]  0.0 False
510425.0  8549975.0  [(510440.0, 8549960.0), (510440.0, 8550000.0), (510440.0, 8549920.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [7.31729746, 4.94433737, 5.10973358]  0.0 False
510425.0  8550025.0  [(510440.0, 8550040.0), (510440.0, 8550000.0), (510440.0, 8550080.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [4.74835062, 4.94433737, 5.34405613]  0.0 False
510425.0  8550075.0  [(510440.0, 8550080.0), (510440.0, 8550040.0), (510440.0, 8550120.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [5.34405613, 4.74835062, 5.29051113]  0.0 False
510425.0  8550125.0  [(510440.0, 8550120.0), (510440.0, 8550160.0), (510440.0, 8550080.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [5.29051113, 4.70841265, 5.34405613]  0.0 False
510425.0  8550175.0  [(510440.0, 8550160.0), (510440.0, 8550200.0), (510440.0, 8550120.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [4.70841265, 4.69695854, 5.29051113]  0.0 False
510425.0  8550225.0  [(510440.0, 8550240.0), (510440.0, 8550200.0), (510440.0, 8550280.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [3.97447419, 4.69695854, 4.52131701]  0.0 False
510425.0  8550275.0  [(510440.0, 8550280.0), (510440.0, 8550240.0), (510440.0, 8550320.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [4.52131701, 3.97447419, 3.44961953]  0.0 False
510425.0  8550325.0  [(510440.0, 8550320.0), (510440.0, 8550360.0), (510440.0, 8550280.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [3.44961953, 1.43905056, 4.52131701]  0.0 False
510425.0  8550375.0  [(510440.0, 8550360.0), (510440.0, 8550400.0), (510440.0, 8550320.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [1.43905056, 1.04218113, 3.44961953]  0.0 False
510425.0  8550425.0  [(510440.0, 8550440.0), (510440.0, 8550400.0), (510440.0, 8550480.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [0.599066496, 1.04218113, 1.40433562]  0.0 False
510425.0  8550475.0  [(510440.0, 8550480.0), (510440.0, 8550440.0), (510440.0, 8550520.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [1.40433562, 0.599066496, 3.18477178]  0.0 False
510425.0  8550525.0  [(510440.0, 8550520.0), (510440.0, 8550560.0), (510440.0, 8550480.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [3.18477178, 3.91115761, 1.40433562]  0.0 False
510425.0  8550575.0  [(510440.0, 8550560.0), (510440.0, 8550600.0), (510440.0, 8550520.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [3.91115761, 4.3327179, 3.18477178]  0.0 False
510425.0  8550625.0  [(510440.0, 8550640.0), (510440.0, 8550600.0), (510440.0, 8550680.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [5.04688406, 4.3327179, 7.71009207]  0.0 False
510425.0  8550675.0  [(510440.0, 8550680.0), (510440.0, 8550640.0), (510440.0, 8550720.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [7.71009207, 5.04688406, 5.27252007]  0.0 False
510425.0  8550725.0  [(510440.0, 8550720.0), (510440.0, 8550760.0), (510440.0, 8550680.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [5.27252007, 6.83843184, 7.71009207]  0.0 False
510425.0  8550775.0  [(510440.0, 8550760.0), (510440.0, 8550800.0), (510440.0, 8550720.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [6.83843184, 5.58537245, 5.27252007]  0.0 False
510425.0  8550825.0  [(510440.0, 8550840.0), (510440.0, 8550800.0), (510440.0, 8550880.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [4.86640263, 5.58537245, 3.85504222]  0.0 False
510425.0  8550875.0  [(510440.0, 8550880.0), (510440.0, 8550840.0), (510440.0, 8550920.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [3.85504222, 4.86640263, 2.70638633]  0.0 False
510425.0  8550925.0  [(510440.0, 8550920.0), (510440.0, 8550960.0), (510440.0, 8550880.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [2.70638633, 1.93896723, 3.85504222]  0.0 False
510425.0  8550975.0  [(510440.0, 8550960.0), (510440.0, 8551000.0), (510440.0, 8550920.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [1.93896723, 1.17579603, 2.70638633]  0.0 False
510425.0  8551025.0  [(510440.0, 8551040.0), (510440.0, 8551000.0), (510440.0, 8551080.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [0.271047026, 1.17579603, 2.18375707]  0.0 False
510425.0  8551075.0  [(510440.0, 8551080.0), (510440.0, 8551040.0), (510440.0, 8551120.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [2.18375707, 0.271047026, 4.29809761]  0.0 False
510425.0  8551125.0  [(510440.0, 8551120.0), (510440.0, 8551160.0), (510440.0, 8551080.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [4.29809761, 5.81159973, 2.18375707]  0.0 False
510425.0  8551175.0  [(510440.0, 8551160.0), (510440.0, 8551200.0), (510440.0, 8551120.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [5.81159973, 6.96253252, 4.29809761]  0.0 False
510425.0  8551225.0  [(510440.0, 8551240.0), (510440.0, 8551200.0), (510440.0, 8551280.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [9.16239071, 6.96253252, 6.59727669]  0.0 False
510425.0  8551275.0  [(510440.0, 8551280.0), (510440.0, 8551240.0), (510440.0, 8551320.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [6.59727669, 9.16239071, 4.18078661]  0.0 False
510425.0  8551325.0  [(510440.0, 8551320.0), (510440.0, 8551360.0), (510440.0, 8551280.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [4.18078661, 3.07483268, 6.59727669]  0.0 False
510425.0  8551375.0  [(510440.0, 8551360.0), (510440.0, 8551400.0), (510440.0, 8551320.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [3.07483268, 2.16443038, 4.18078661]  0.0 False
510425.0  8551425.0  [(510440.0, 8551440.0), (510440.0, 8551400.0), (510440.0, 8551480.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [3.3895874, 2.16443038, 4.43181896]  0.0 False
510425.0  8551475.0  [(510440.0, 8551480.0), (510440.0, 8551440.0), (510440.0, 8551520.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [4.43181896, 3.3895874, 8.28959942]  0.0 False
510425.0  8551525.0  [(510440.0, 8551520.0), (510440.0, 8551560.0), (510440.0, 8551480.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [8.28959942, 9.29888248, 4.43181896]  0.0 False
510425.0  8551575.0  [(510440.0, 8551560.0), (510440.0, 8551600.0), (510440.0, 8551520.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [9.29888248, 8.89599514, 8.28959942]  0.0 False
510425.0  8551625.0  [(510440.0, 8551640.0), (510440.0, 8551600.0), (510440.0, 8551680.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [5.29705858, 8.89599514, 2.66168189]  0.0 False
510425.0  8551675.0  [(510440.0, 8551680.0), (510440.0, 8551640.0), (510440.0, 8551720.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [2.66168189, 5.29705858, 1.38400447]  0.0 False
510425.0  8551725.0  [(510440.0, 8551720.0), (510440.0, 8551760.0), (510440.0, 8551680.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [1.38400447, 2.11470151, 2.66168189]  0.0 False
510425.0  8551775.0  [(510440.0, 8551760.0), (510440.0, 8551800.0), (510440.0, 8551720.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [2.11470151, 2.65716934, 1.38400447]  0.0 False
510425.0  8551825.0  [(510440.0, 8551840.0), (510440.0, 8551800.0), (510440.0, 8551880.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [1.22127545, 2.65716934, 2.74451208]  0.0 False
510425.0  8551875.0  [(510440.0, 8551880.0), (510440.0, 8551840.0), (510440.0, 8551920.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [2.74451208, 1.22127545, 5.53141832]  0.0 False
510425.0  8551925.0  [(510440.0, 8551920.0), (510440.0, 8551960.0), (510440.0, 8551880.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [5.53141832, 1.38130569, 2.74451208]  0.0 False
510425.0  8551975.0  [(510440.0, 8551960.0), (510440.0, 8552000.0), (510440.0, 8551920.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [1.38130569, 1.578264, 5.53141832]  0.0 False
510425.0  8552025.0  [(510440.0, 8552040.0), (510440.0, 8552000.0), (510440.0, 8552080.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [0.75218904, 1.578264, 2.33985806]  0.0 False
510425.0  8552075.0  [(510440.0, 8552080.0), (510440.0, 8552040.0), (510440.0, 8552120.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [2.33985806, 0.75218904, 3.95025253]  0.0 False
510425.0  8552125.0  [(510440.0, 8552120.0), (510440.0, 8552160.0), (510440.0, 8552080.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [3.95025253, 5.91160917, 2.33985806]  0.0 False
510425.0  8552175.0  [(510440.0, 8552160.0), (510440.0, 8552200.0), (510440.0, 8552120.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [5.91160917, 7.78486204, 3.95025253]  0.0 False
510425.0  8552225.0  [(510440.0, 8552240.0), (510440.0, 8552200.0), (510440.0, 8552280.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [9.53631496, 7.78486204, 10.2728739]  0.0 False
510425.0  8552275.0  [(510440.0, 8552280.0), (510440.0, 8552240.0), (510440.0, 8552320.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [10.2728739, 9.53631496, 9.85250282]  0.0 False
510425.0  8552325.0  [(510440.0, 8552320.0), (510440.0, 8552360.0), (510440.0, 8552280.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [9.85250282, 9.71627808, 10.2728739]  0.0 False
510425.0  8552375.0  [(510440.0, 8552360.0), (510440.0, 8552400.0), (510440.0, 8552320.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [9.71627808, 10.2661648, 9.85250282]  0.0 False
510425.0  8552425.0  [(510440.0, 8552440.0), (510440.0, 8552400.0), (510440.0, 8552480.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [9.42606258, 10.2661648, 9.20489407]  0.0 False
510425.0  8552475.0  [(510440.0, 8552480.0), (510440.0, 8552440.0), (510440.0, 8552520.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [9.20489407, 9.42606258, 8.94353962]  0.0 False
510425.0  8552525.0  [(510440.0, 8552520.0), (510440.0, 8552560.0), (510440.0, 8552480.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [8.94353962, 5.66835499, 9.20489407]  0.0 False
510425.0  8552575.0  [(510440.0, 8552560.0), (510440.0, 8552600.0), (510440.0, 8552520.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [5.66835499, 3.07319808, 8.94353962]  0.0 False
510425.0  8552625.0  [(510440.0, 8552640.0), (510440.0, 8552600.0), (510440.0, 8552680.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [2.73693132, 3.07319808, 2.86343598]  0.0 False
510425.0  8552675.0  [(510440.0, 8552680.0), (510440.0, 8552640.0), (510440.0, 8552720.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [2.86343598, 2.73693132, 0.67037797]  0.0 False
510425.0  8552725.0  [(510440.0, 8552720.0), (510440.0, 8552760.0), (510440.0, 8552680.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [0.67037797, 2.6902349, 2.86343598]  0.0 False
510425.0  8552775.0  [(510440.0, 8552760.0), (510440.0, 8552800.0), (510440.0, 8552720.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [2.6902349, 3.98746824, 0.67037797]  0.0 False
510425.0  8552825.0  [(510440.0, 8552840.0), (510440.0, 8552800.0), (510440.0, 8552880.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [3.9598887, 3.98746824, 2.68906522]  0.0 False
510425.0  8552875.0  [(510440.0, 8552880.0), (510440.0, 8552840.0), (510440.0, 8552920.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [2.68906522, 3.9598887, 3.9130919]  0.0 False
510425.0  8552925.0  [(510440.0, 8552920.0), (510440.0, 8552960.0), (510440.0, 8552880.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [3.9130919, 5.11301517, 2.68906522]  0.0 False
510425.0  8552975.0  [(510440.0, 8552960.0), (510440.0, 8553000.0), (510440.0, 8552920.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [5.11301517, 11.6829958, 3.9130919]  0.0 False
510425.0  8553025.0  [(510440.0, 8553040.0), (510440.0, 8553000.0), (510440.0, 8553080.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [13.6218185, 11.6829958, 5.42529774]  0.0 False
510425.0  8553075.0  [(510440.0, 8553080.0), (510440.0, 8553040.0), (510440.0, 8553120.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [5.42529774, 13.6218185, 0.030554058]  0.0 False
510425.0  8553125.0  [(510440.0, 8553120.0), (510440.0, 8553160.0), (510440.0, 8553080.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [0.030554058, 0.89461869, 5.42529774]  0.0 False
510425.0  8553175.0  [(510440.0, 8553160.0), (510440.0, 8553200.0), (510440.0, 8553120.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [0.89461869, 1.25646317, 0.030554058]  0.0 False
510425.0  8553225.0  [(510440.0, 8553240.0), (510440.0, 8553200.0), (510440.0, 8553280.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [2.00762081, 1.25646317, 2.9928627]  0.0 False
510425.0  8553275.0  [(510440.0, 8553280.0), (510440.0, 8553240.0), (510440.0, 8553320.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [2.9928627, 2.00762081, 2.53176832]  0.0 False
510425.0  8553325.0  [(510440.0, 8553320.0), (510440.0, 8553360.0), (510440.0, 8553280.0)]  [15.811388300841896, 38.07886552931954, 47.43416490252569] [2.53176832, 2.93523192, 2.9928627]  0.0 False
510425.0  8553375.0  [(510440.0, 8553360.0), (510440.0, 8553400.0), (510440.0, 8553320.0)]  [21.213203435596427, 29.154759474226502, 57.0087712549569] [2.93523192, 3.76371217, 2.53176832]  0.0 False
