512725.000 8564175.000 
513625.000 8563075.000 
514175.000 8562625.000 
513825.000 8561275.000 
514575.000 8559575.000 
515125.000 8559225.000 
516325.000 8557875.000 
516525.000 8557825.000 
517075.000 8555525.000 
517275.000 8555125.000 
517775.000 8554225.000 
518975.000 8553525.000 
518575.000 8553175.000 
517675.000 8553175.000 
517625.000 8551975.000 
517775.000 8550525.000 
517725.000 8549525.000 
513325.000 8549575.000 
513525.000 8549775.000 
512525.000 8550125.000 
513225.000 8552075.000 
513125.000 8551675.000 
514325.000 8552275.000 
514025.000 8552225.000 
513725.000 8552225.000 
513575.000 8554325.000 
513375.000 8554575.000 
512575.000 8554625.000 
512625.000 8555225.000 
511675.000 8559025.000 
510975.000 8559875.000 
510775.000 8560375.000 
510525.000 8560975.000 
512525.000 8562625.000 
512275.000 8562975.000 
512675.000 8563975.000 
510525.000 8560975.000 
512225.000 8558325.000 
511675.000 8559025.000 
515875.000 8548725.000 
515275.000 8548775.000 
514825.000 8548575.000 
514775.000 8549275.000 
512775.000 8556225.000 
516975.000 8547875.000
510925.000 8562225.000 
518025.000 8556325.000 
514075.000 8555975.000 
511825.000 8550725.000 
511125.000 8550925.000 
