515005.66 8548815.07, 515158.057 8550260.322, 516609.103 8550227.221, 515898.467 8551997.043, 515701.684 8554089.745, 515714.942 8556337.476, 514497.785 8558413.814, 513418.464 8558057.341, 512172.777 8559795.188, 511291.699 8560841.977, 511017.436 8562351.549, 513206.649 8552899.219, 513516.089 8549363.513, 514278.737 8559859.578, 513575.999 8555493.386, 512811.92 8550930.292, 
515009.57589366153 8548809.803407619, 515162.742909283 8550253.517174924, 516604.29949703556 8550213.167763792, 515895.7711800496 8551981.185284171, 515706.9379520686 8554074.97588368, 515730.3702141103 8556330.407852719, 514499.6912940554 8558397.579872075, 513427.7316434529 8558041.67223033, 512158.5574125819 8559784.854028795, 511275.96565513266 8560848.044241989, 511006.34786555124 8562361.726921143, 513219.2661813616 8552898.146995116, 513522.7664904473 8549371.936057655, 514284.79147529404 8559866.755642356, 513586.48899337713 8555496.213068916, 512823.09015554725 8550932.299309433, 
515009.75424401445 8548809.564281445, 515162.9577560353 8550253.20914571, 516604.08351447165 8550212.528174834, 515895.6578928292 8551980.46293597, 515707.1586407761 8554074.29838282, 515731.07411663095 8556330.092300814, 514499.829366047 8558396.849583883, 513428.13544284774 8558040.949767109, 512157.9203134326 8559784.371793149, 511275.25012910925 8560848.319102637, 511005.8317458065 8562362.176371418, 513219.8395454494 8552898.096570803, 513523.06796256214 8549372.3205448, 514285.0736182683 8559867.075980041, 513586.96573343565 8555496.3418607, 512823.5980423285 8550932.389701787, 
515009.93262873153 8548809.325180905, 515163.17281989765 8550252.90126804, 516603.8676970662 8550211.888530128, 515895.5449970513 8551979.740526484, 515707.37930115464 8554073.620872734, 515731.7779841287 8556329.776670795, 514499.9699448179 8558396.119774094, 513428.5405390337 8558040.22803022, 512157.28461216035 8559783.887716258, 511274.5349253953 8560848.594800867, 511005.31582985446 8562362.62605561, 513220.41291228187 8552898.04617771, 513523.3693561547 8549372.705093501, 514285.3561381246 8559867.395985385, 513587.4424752675 8555496.470645921, 512824.1059346089 8550932.48006324, 
515010.1110484182 8548809.086106459, 515163.3881073837 8550252.593546702, 516603.6520110691 8550211.2488411, 515895.4324542417 8551979.018061927, 515707.5999014439 8554072.94334308, 515732.4818079115 8556329.460943308, 514500.1129974558 8558395.390445182, 513428.9469576095 8558039.507037155, 512156.6504153426 8559783.401670026, 511273.8055814706 8560848.830561988, 511004.8002202074 8562363.076090978, 513220.98628302536 8552897.995829135, 513523.6706831573 8549373.089694383, 514285.6390234754 8559867.715667678, 513587.91922030726 8555496.599419266, 512824.6236782238 8550932.572142927, 
515010.2895037067 8548808.847058587, 515163.60362487356 8550252.285986407, 516603.43642169336 8550210.609119501, 515895.32022863877 8551978.295548027, 515707.8204067754 8554072.265782516, 515733.1855797771 8556329.145100113, 514500.28479129897 8558394.667346576, 513429.3547061282 8558038.786795389, 512156.01783221285 8559782.91352545, 511273.0764370498 8560849.066939399, 511004.28501306823 8562363.526587088, 513221.5596586954 8552897.945536695, 513523.9718412954 8549373.474427506, 514285.9222654151 8559868.035034072, 513588.395970024 8555496.728175294, 512825.1414284015 8550932.664185707, 
515010.4679952557 8548808.608037788, 515163.8193786018 8550251.978591787, 516603.22089338687 8550209.969377324, 515895.20828719257 8551977.572990049, 515708.04077907663 8554071.588178674, 515733.8892920492 8556328.829124164, 514500.45775236527 8558393.944526276, 513429.76377302955 8558038.06730159, 512155.38697366737 8559782.423154121, 511272.3474837639 8560849.303905584, 511003.77029843745 8562363.977645831, 513222.1330401571 8552897.89531033, 513524.27299943357 8549373.85916063, 514286.20585746417 8559868.354089616, 513588.87272591604 8555496.856908455, 512825.65970459045 8550932.753218912, 
515010.6465237505 8548808.369044583, 515164.03537464485 8550251.671367384, 516603.00539009925 8550209.329626719, 515895.0965995357 8551976.850392798, 515708.26097698393 8554070.91051814, 515734.5929376086 8556328.51299968, 514500.63190662925 8558393.221992532, 513430.1741267834 8558037.348540952, 512154.7579511391 8559781.930429855, 511271.61871041666 8560849.541424582, 511003.2561601672 8562364.429361427, 513222.7064281264 8552897.845158309, 513524.5741575717 8549374.243893754, 514286.48979550984 8559868.672837285, 513589.3494895054 8555496.985613106, 512826.1780048492 8550932.84211189, 
515010.82508990186 8548808.130079513, 515164.2516189086 8550251.364317646, 516602.7898755416 8550208.689879911, 515894.98513792816 8551976.127760643, 515708.4809557647 8554070.232786441, 515735.2965099197 8556328.196712207, 514500.8072808487 8558392.499753928, 513430.58571524563 8558036.630486641, 512154.13087534317 8559781.43523041, 511270.8901028523 8560849.779451646, 511002.74267597013 8562364.881820397, 513223.2798231735 8552897.795087276, 513524.87531570985 8549374.628626877, 514286.77407774265 8559868.99127802, 513589.8262623327 8555497.114283532, 512826.696334827 8550932.930831412, 
515011.0036944461 8548807.891143138, 515164.4681171152 8550251.057446908, 516602.5743134371 8550208.050149122, 515894.8738771762 8551975.405097537, 515708.70066724706 8554069.55496804, 515736.00000305264 8556327.880248662, 514500.98390252923 8558391.777819375, 513430.99846522574 8558035.91309936, 512153.50585490407 8559780.937439295, 511270.1616438612 8560850.017933017, 511002.22991739097 8562365.335101524, 513223.85322572704 8552897.745102279, 513525.176473848 8549375.013360001, 514287.0587045886 8559869.309410773, 513590.3030459514 8555497.242913965, 512827.2147002448 8550933.019343633, 
515011.18233814446 8548807.652236033, 515164.68487479014 8550250.75075939, 516602.35866776115 8550207.410446499, 515894.76279452856 8551974.682407033, 515708.920059757 8554068.87704633, 515736.7034117008 8556327.563597377, 514501.1617998496 8558391.056198101, 513431.41228226275 8558035.19632707, 512152.8829948813 8559780.4369476, 511269.43341668486 8560850.257121323, 511001.71794975083 8562365.789275805, 513224.42663607997 8552897.695206832, 513525.47763198614 8549375.398093125, 514287.3436786369 8559869.62723255, 513590.77984192304 8555497.371498602, 512827.7331068696 8550933.10761419, 
515011.3610217823 8548807.4133588, 515164.90189724875 8550250.444259183, 516602.14290296956 8550206.770784043, 515894.6727759063 8551973.956791729, 515709.1390780624 8554068.199003631, 515737.4067311944 8556327.246748118, 514501.3410015431 8558390.33489964, 513431.82705060724 8558034.480104843, 512152.26239521615 8559779.933655838, 511268.70521689864 8560850.496393004, 511001.2068320724 8562366.2444064, 513225.00005439617 8552897.645402987, 513525.7787901243 8549375.782826249, 514287.6290045623 8559869.944738464, 513591.2566518116 8555497.500031622, 512828.25156048883 8550933.195608305, 
515011.5397461687 8548807.174512053, 515165.1191895829 8550250.137950245, 516601.92698421434 8550206.13117354, 515894.58283077687 8551973.231167313, 515709.35766332294 8554067.520821204, 515738.1099575098 8556326.92969211, 514501.52153673134 8558389.613933785, 513432.2426334074 8558033.764354892, 512151.6441491302 8559779.42747571, 511267.97700725653 8560850.735634688, 511000.6966169963 8562366.700548612, 513225.5727623479 8552897.588004462, 513526.0799482624 8549376.167559372, 514287.9146890427 8559870.261921799, 513591.7334771785 8555497.62850721, 512828.77006688283 8550933.28329091, 
515011.71851213573 8548806.935696425, 515165.33675664756 8550249.831836384, 516601.7108775456 8550205.491626505, 515894.4930001625 8551972.50552871, 515709.5757530471 8554066.842479263, 515738.8130872749 8556326.612422042, 514501.7034347066 8558388.89331055, 513432.65887309844 8558033.048986752, 512151.02834151266 8559778.918331798, 511267.2487462579 8560850.974719996, 511000.1873506987 8562367.157749858, 513226.14549601806 8552897.530863134, 513526.3811064006 8549376.552292496, 514288.2007406715 8559870.578774061, 513592.21031957766 8555497.756919568, 512829.2787706744 8550933.368965952, 
515011.89732053765 8548806.696912566, 515165.55889983766 8550249.529026993, 516601.4945500992 8550204.852154113, 515894.40332721255 8551971.779870607, 515709.79328105506 8554066.163956983, 515739.51611777046 8556326.294932066, 514501.88672466035 8558388.173040107, 513433.07559199724 8558032.333897656, 512150.41504733876 8559778.406163076, 511266.52038815175 8560851.213509308, 510999.67907281936 8562367.616049692, 513226.71825385565 8552897.473964559, 513526.6822645387 8549376.93702562, 514288.4871698638 8559870.895285053, 513592.6871805505 8555497.885262936, 512829.7875362027 8550933.454273615, 
515012.07617225003 8548806.458161147, 515165.78129710275 8550249.226404157, 516601.27797027025 8550204.212767156, 515894.31385708065 8551971.05418747, 515710.0101774501 8554065.485232538, 515740.21904692746 8556325.977217786, 514502.07143535675 8558387.453132698, 513433.49259310635 8558031.618973093, 512149.8043301675 8559777.890924217, 511265.791882969 8560851.451849537, 510999.1499563626 8562368.050124474, 513227.29103426484 8552897.417293655, 513526.98351607384 8549377.321685616, 514288.77398875763 8559871.211442944, 513593.1640616211 8555498.013531607, 512830.2963687548 8550933.53918059, 
515012.255068169 8548806.21944285, 515166.00394872087 8550248.92396841, 516601.06110787106 8550203.573475983, 515894.2246367938 8551970.328473572, 515710.2263685978 8554064.806283124, 515740.92187332024 8556325.659276243, 514502.25759475125 8558386.733598545, 513433.9096611326 8558030.904087566, 512149.2098068977 8559777.357080957, 511265.06317658036 8560851.689573884, 510998.6224809971 8562368.486191992, 513227.8638356156 8552897.36083481, 513527.2848069902 8549377.706314769, 514289.06121110945 8559871.527234348, 513593.64096429176 8555498.141719945, 512830.80527351383 8550933.6236537, 
515012.4340092101 8548805.980758375, 515166.22685472394 8550248.621720105, 516600.8439342737 8550202.934290461, 515894.1357151175 8551969.602723025, 515710.44177711726 8554064.127085002, 515741.62459615566 8556325.34110588, 514502.44522955606 8558386.014447728, 513434.3265637291 8558030.189105552, 512148.61757410294 8559776.820697827, 511264.3342107768 8560851.92650156, 510998.0966763654 8562368.924272612, 513228.42670414463 8552897.3055495, 513527.5861442453 8549378.090907618, 514289.34885218344 8559871.842644403, 513594.1178900382 8555498.269822402, 512831.3142555362 8550933.707660018, 
515012.61299630755 8548805.742108434, 515166.45001489774 8550248.319659416, 516600.62642253714 8550202.295219926, 515894.04714242043 8551968.876929805, 515710.65632188454 8554063.447613545, 515742.32721525757 8556325.022706507, 514502.63436475635 8558385.295690054, 513434.74305296846 8558029.47388267, 512148.027621259 8559776.281808056, 511263.6049233689 8560852.162437446, 510997.5725668366 8562369.364379806, 513228.9895897017 8552897.25043783, 513527.8875347378 8549378.475458749, 514289.6369286361 8559872.15765686, 513594.59484030533 8555498.397833534, 512831.82331973006 8550933.791166944, 
515012.79203041294 8548805.503493756, 515166.673428782 8550248.01778633, 516600.4085475182 8550201.656273153, 515893.9589705402 8551968.151087783, 515710.86991805333 8554062.767843293, 515743.0297310472 8556324.704079252, 514502.82502308325 8558384.577334905, 513435.158867056 8558028.75826706, 512147.4399260642 8559775.740457058, 511262.8752483054 8560852.397171697, 510997.05017110426 8562369.806519875, 513229.5524907034 8552897.195484132, 513528.18898526893 8549378.859962815, 514289.92545839486 8559872.47225417, 513595.0718165033 8555498.525748013, 512832.33247083536 8550933.874142315, 
515012.9711124942 8548805.264915083, 515166.8970956715 8550247.716100655, 516600.1902859666 8550201.017458314, 515893.8712526535 8551967.425190756, 515711.08247709565 8554062.087748026, 515743.732630028 8556324.386298217, 514503.017224452 8558383.859391069, 513435.57373228925 8558028.042100951, 512146.85445465206 8559775.19670181, 511262.1451158089 8560852.630479228, 510996.52950182883 8562370.250691742, 513230.115405573 8552897.14067267, 513528.49050250207 8549379.24441458, 514290.21446053195 8559872.78641759, 513595.54882000317 8555498.653560642, 512832.8417134051 8550933.956554484, 
515013.1502435342 8548805.026373167, 515167.1210146171 8550247.414602015, 516599.9716166037 8550200.378782956, 515893.7840431509 8551966.699232478, 515711.2939068667 8554061.407300841, 515744.4354261854 8556324.068289846, 514503.21098537603 8558383.14186656, 513435.9873652669 8558027.325222429, 512146.2711619798 8559774.650610058, 511261.4144525317 8560852.862119125, 510996.0105653336 8562370.696886828, 513230.6783327491 8552897.085987747, 513528.7920929221 8549379.628808932, 514290.5039551335 8559873.100127274, 513596.0258521332 8555498.781266375, 512833.3510517884 8550934.038372401, 
515013.3294245297 8548804.787868772, 515167.34518442774 8550247.113289852, 516599.7999230288 8550199.725909445, 515893.6973975178 8551965.973206682, 515711.5041116994 8554060.72647425, 515745.1381193615 8556323.750053985, 514503.40631837025 8558382.424768422, 513436.39947534516 8558026.607467359, 512145.6775702319 8559774.115731211, 511260.68318173464 8560853.091833921, 510995.49336136295 8562371.145089008, 513231.2412706941 8552897.031413792, 513529.0937627936 8549380.013140937, 514290.7939631641 8559873.413362382, 513596.50291417533 8555498.908860322, 512833.8604901155 8550934.119565697, 
515013.5086564898 8548804.549402675, 515167.5696036728 8550246.812163422, 516599.6155354377 8550199.076506859, 515893.61137222056 8551965.247107124, 515711.71299253363 8554060.045240285, 515745.84070998995 8556323.431591786, 514503.6032313582 8558381.708102535, 513436.8097673313 8558025.888671461, 512145.08610334137 8559773.578503642, 511259.9512234943 8560853.319348758, 510994.9778829114 8562371.595274644, 513231.8042179017 8552896.976935465, 513529.39551811904 8549380.397405852, 514291.0845063279 8559873.726101186, 513596.98000736156 8555499.036337767, 512834.37003228435 8550934.200104747, 
515013.6879404346 8548804.310975658, 515167.79427068465 8550246.511221804, 516599.43112044083 8550198.427112054, 515893.5260245976 8551964.520927599, 515711.9204470854 8554059.363570623, 515746.54319907795 8556323.112905664, 514503.80172710086 8558380.991873411, 513437.2179443957 8558025.168672476, 512144.49669164716 8559773.03902204, 511259.21849494905 8560853.544370413, 510994.4641161289 8562372.047412714, 513232.3671729039 8552896.922537744, 513529.6973645975 8549380.781599168, 514291.37560692657 8559874.038321191, 513597.45713287086 8555499.163694179, 512834.8796819496 8550934.279960737, 
515013.8672773937 8548804.072588515, 515168.0191835625 8550246.210463893, 516599.24671087204 8550197.777715707, 515893.4414127531 8551963.794661975, 515712.12637006276 8554058.68143673, 515747.24558817997 8556322.793999232, 514504.00180266454 8558380.276083997, 513437.62371117226 8558024.447312387, 512143.9092554792 8559772.497389976, 511258.48491059296 8560853.766586207, 510993.9520403084 8562372.501465019, 513232.9301342774 8552896.868205998, 513529.9993075836 8549381.165716643, 514291.667287714 8559874.349999243, 513597.93429182615 8555499.290925223, 512835.3894425131 8550934.35910572, 
515014.0466684046 8548803.834242042, 515168.2443401757 8550245.909888405, 516599.06234127755 8550197.128308011, 515893.3575954522 8551963.068304224, 515712.330653434 8554057.998810021, 515747.94787936396 8556322.474877225, 514504.2034489472 8558379.560735485, 513438.033762971 8558023.728379441, 512143.323705944 8559771.953718856, 511257.75038263464 8560853.985662779, 510993.4416279574 8562372.957386473, 513233.4931006494 8552896.813926069, 513530.30135204794 8549381.549754325, 514291.95957175054 8559874.661111655, 513598.41148529144 8555499.418026773, 512835.89931711653 8550934.437512664, 
515014.2261145111 8548803.595937047, 515168.46973816847 8550245.609493883, 516598.87804781256 8550196.478878707, 515893.27463201404 8551962.341848452, 515712.5331867542 8554057.315662034, 515748.65007517074 8556322.155545404, 514504.4066502811 8558378.845827144, 513438.4413335103 8558023.008036945, 512142.7399457487 8559771.408126904, 511257.0148214371 8560854.20124476, 510992.93284495565 8562373.41512548, 513234.0560707025 8552896.759684334, 513530.60350253945 8549381.933708595, 514292.25248225516 8559874.97163432, 513598.8887142694 8555499.544994919, 512836.4093086359 8550934.515155504, 
515014.4056167615 8548803.35767434, 515168.6953749646 8550245.309278693, 516598.69386812294 8550195.829417126, 515893.1925821997 8551961.615288923, 515712.73385755654 8554056.631964624, 515749.35217856814 8556321.836010458, 514504.611384129 8558378.131356172, 513438.8462146825 8558022.286179416, 512142.1578700374 8559770.860738184, 511256.27813606197 8560854.412953343, 510992.4256507962 8562373.874624366, 513234.6190431791 8552896.705467757, 513530.9057631493 8549382.317576183, 514292.5460424583 8559875.28154285, 513599.3659796989 8555499.671825975, 512836.91941967787 8550934.592009164, 
